mlbamID,playerName,team,league,IP,W,L,S,H,R,ER,HR,K,BB,IBB,HBP,WP,BK,G_SP,G_RP
110683,Miguel Batista,SEA,AL,115,4,14,1,135,14,80,19,73,79,5,1,2,0,20,24
110859,Armando Benitez,TOR,AL,6.33,0,1,0,4,34,4,3,9,2,3,5,4,0,0,8
111244,Joe Borowski,,,16.67,1,3,6,24,88,14,4,9,8,3,12,4,0,0,18
111492,Doug Brocail,HOU,NL,68.67,7,5,2,63,23,30,8,64,21,6,4,3,0,0,72
111838,Paul Byrd,,,180,11,12,0,204,94,92,31,82,34,6,6,5,0,30,0
112020,Chris Carpenter,SLN,NL,15.33,0,1,0,16,18,3,0,7,4,3,1,1,1,3,1
112526,Bartolo Colon,CHA,AL,39,4,2,0,44,14,17,5,27,10,1,0,0,0,7,0
113296,Elmer Dessens,NYN,NL,4,0,1,0,10,4,10,1,2,4,0,1,0,0,0,4
113833,Alan Embree,COL,NL,61.67,2,5,0,59,69,34,8,57,30,0,8,2,0,0,70
113915,Shawn Estes,LAN,NL,43.67,2,3,0,50,31,23,6,19,18,4,4,1,0,8,1
113961,Scott Eyre,PHI,NL,25.67,5,0,0,23,44,12,2,32,7,7,3,1,1,0,38
114342,Keith Foulke,,,31,0,3,1,28,22,14,7,23,13,1,1,1,0,0,31
114354,Chad Fox,CHN,NL,3.33,0,1,0,2,8,2,1,1,3,0,1,0,0,0,3
114849,Tom Glavine,ATL,NL,63.33,2,4,0,67,18,39,11,37,37,1,1,1,0,13,0
114971,Tom Gordon,ARI,NL,29.67,5,4,2,31,11,17,3,26,17,1,1,0,0,0,34
115216,Eddie Guardado,TEX,AL,56.33,4,4,4,50,96,26,4,33,19,0,7,0,0,0,64
115399,Mike Hampton,HOU,NL,78,3,4,0,83,28,42,10,38,28,7,2,3,0,13,0
115629,LaTroy Hawkins,HOU,NL,62,3,1,1,53,28,27,3,48,22,0,2,0,0,0,57
115817,Livan Hernandez,NYN,NL,180,13,11,0,257,46,121,25,67,43,5,2,2,0,31,0
116034,Trevor Hoffman,MIL,NL,45.33,3,6,30,38,26,19,8,46,9,1,2,0,0,0,48
116414,Jason Isringhausen,TBA,AL,42.67,1,5,12,48,30,27,5,36,22,5,1,0,0,0,42
116595,Jason Johnson,NYA,AL,29.33,1,2,0,32,28,17,5,20,12,3,3,3,0,2,14
