mlbamID,playerName,team,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
110029,Bobby Abreu,LAA,AL,152,563,96,165,29,3,15,103,94,113,30,8,0,0,0,0,0,0,0,150,150
110236,Garret Anderson,ATL,NL,135,496,52,133,27,0,13,61,27,73,1,0,0,0,0,0,0,82,0,0,82
110383,Rich Aurilia,SF,NL,60,122,10,26,2,0,2,16,8,24,0,0,0,82,1,63,0,0,0,0,0
110385,Brad Ausmus,LAD,NL,36,95,9,28,4,0,1,9,5,21,1,0,77,2,1,1,0,0,0,0,0
111072,Henry Blanco,SD,NL,67,204,21,48,12,0,6,16,26,50,0,0,45,1,0,0,0,0,0,0,0
111213,Aaron Boone,HOU,NL,10,13,0,0,0,0,0,0,0,2,0,0,0,54,1,16,0,0,0,0,0
111548,Emil Brown,NYM,NL,3,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,65,1,55,100
111851,Orlando Cabrera,MIN,AL,160,656,83,185,36,3,9,77,36,71,13,4,0,0,0,0,161,0,0,0,0
111867,Miguel Cairo,PHI,NL,27,45,6,12,2,1,1,2,0,4,0,0,0,70,5,19,1,2,0,1,3
111904,Mike Cameron,MIL,NL,149,544,78,136,32,3,24,70,75,156,7,3,0,0,0,0,0,0,119,0,119
112116,Luis Castillo,NYM,NL,142,486,77,147,12,3,1,40,69,58,20,6,0,0,81,0,0,0,0,0,0
112128,Juan Castro,LAD,NL,57,112,18,31,4,0,1,9,6,25,0,0,0,0,2,5,57,0,0,0,0
112131,Frank Catalanotto,MIL,NL,77,144,18,40,6,3,1,9,14,23,2,0,0,33,0,0,0,26,0,0,26
112223,Raul Chavez,TOR,AL,51,159,10,41,8,0,2,15,6,23,1,1,35,0,0,0,0,0,0,0,0
112316,Tony Clark,ARI,NL,36,66,7,12,4,0,4,11,11,24,0,0,0,26,0,0,0,0,0,0,0
112736,Craig Counsell,MIL,NL,130,404,61,115,22,8,4,39,42,54,3,4,0,0,19,38,24,0,0,0,0
113028,Johnny Damon,NYY,AL,143,550,107,155,36,3,24,82,71,98,12,0,0,1,0,0,0,87,34,0,113
113232,Carlos Delgado,NYM,NL,26,94,15,28,7,1,4,23,12,20,0,0,0,154,0,0,0,0,0,0,0
113240,David Dellucci,TOR,AL,22,65,5,12,4,0,0,3,5,19,0,0,0,0,0,0,0,56,0,0,56
113679,Jermaine Dye,CWS,AL,141,503,78,126,19,1,27,81,64,108,0,2,0,0,0,0,0,0,0,151,151
113889,Darin Erstad,HOU,NL,107,134,13,26,8,2,2,11,14,31,0,2,0,12,0,0,0,56,40,6,88
114260,Cliff Floyd,SD,NL,10,16,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
114596,Nomar Garciaparra,OAK,AL,65,160,17,45,8,0,3,16,8,28,2,0,0,8,0,11,31,0,0,0,0
114739,Jason Giambi,COL,NL,102,293,43,59,14,0,13,51,57,80,0,0,0,113,0,0,0,0,0,0,0
114789,Brian Giles,SD,NL,61,225,18,43,10,1,2,23,26,31,1,0,0,0,0,0,0,0,2,144,144
115017,Tony Graffanino,CLE,AL,7,23,1,3,1,0,0,0,1,5,0,0,,,,,,,,,
115135,Ken Griffey Jr.,SEA,AL,117,387,44,83,19,0,19,57,63,80,0,0,0,0,0,0,0,0,32,91,123
115223,Vladimir Guerrero,LAA,AL,100,383,59,113,16,1,15,50,19,56,2,1,0,0,0,0,0,0,0,99,99
115229,Jose Guillen,KC,AL,81,281,30,68,8,0,9,40,22,50,1,0,0,0,0,0,0,45,0,67,109
115732,Todd Helton,COL,NL,151,544,79,177,38,3,15,86,89,73,0,1,0,81,0,0,0,0,0,0,0
116338,Torii Hunter,LAA,AL,119,451,74,135,26,1,22,90,47,92,18,4,0,0,0,0,0,0,137,0,137
116380,Raul Ibanez,PHI,NL,134,500,93,136,32,3,34,93,56,119,4,0,0,0,0,0,0,153,0,0,153
116539,Derek Jeter,NYY,AL,153,634,107,212,27,1,18,66,72,90,30,5,0,0,0,0,148,0,0,0,0
116662,Andruw Jones,TEX,AL,82,281,43,60,18,0,17,43,45,72,5,1,0,0,0,0,0,0,66,0,66
116706,Chipper Jones,ATL,NL,143,488,80,129,23,2,18,71,101,89,4,1,0,0,0,115,0,0,0,0,0
116974,Jason Kendall,MIL,NL,134,452,48,109,19,2,2,43,46,58,7,2,149,0,0,0,0,0,0,0,0
117244,Paul Konerko,CWS,AL,152,546,75,151,30,1,28,88,58,89,1,0,0,116,0,0,0,0,0,0,0
117276,Mark Kotsay,CWS,AL,67,187,16,52,9,0,4,23,15,21,3,2,0,6,0,0,0,0,84,19,103
117601,Derrek Lee,CHC,NL,141,532,91,163,36,2,35,111,76,109,1,0,0,153,0,0,0,0,0,0,0
117928,Mark Loretta,LAD,NL,107,181,19,42,8,0,0,25,20,21,1,1,0,2,46,17,5,0,0,0,0
119853,Greg Norton,ATL,NL,95,76,3,11,2,0,0,7,20,20,0,0,0,11,0,0,0,25,0,2,26
120044,Magglio Ordonez,DET,AL,131,465,54,144,24,2,9,50,51,65,3,1,0,0,0,0,0,0,0,135,135
120074,David Ortiz,BOS,AL,150,541,77,129,35,1,28,99,74,134,0,2,0,0,0,0,0,0,0,0,0
120691,Jorge Posada,NYY,AL,111,383,55,109,25,0,22,81,48,101,1,0,30,7,0,0,0,0,0,0,0
120903,Manny Ramirez,LAD,NL,104,352,62,102,24,2,19,63,71,81,0,1,0,0,0,0,0,119,0,0,119
121074,Edgar Renteria,SF,NL,124,460,50,115,19,1,5,48,39,69,7,2,0,0,0,0,138,0,0,0,0
121347,Alex Rodriguez,NYY,AL,124,444,78,127,17,1,30,100,80,97,14,2,0,0,0,131,0,0,0,0,0
121358,Ivan Rodriguez,TEX,AL,121,425,55,106,23,2,10,47,18,92,1,2,112,0,0,0,0,0,0,0,0
121409,Scott Rolen,CIN,NL,128,475,76,145,36,1,11,67,45,62,5,4,0,0,0,115,0,0,0,0,0
122111,Gary Sheffield,NYM,NL,100,268,44,74,13,2,10,43,40,46,2,1,0,0,0,0,0,6,0,0,6
122644,Matt Stairs,PHI,NL,99,103,15,20,4,0,5,17,23,30,0,0,0,0,0,0,0,9,0,10,19
123041,Mike Sweeney,SEA,AL,74,242,25,68,15,0,8,34,17,31,0,0,0,13,0,0,0,0,0,0,0
123107,Fernando Tatis,NYM,NL,125,340,42,96,21,4,8,48,22,54,4,1,0,6,0,4,0,51,0,39,71
123173,Miguel Tejada,HOU,NL,158,635,83,199,46,1,14,86,19,48,5,2,0,0,0,0,157,0,0,0,0
123272,Jim Thome,LAD,NL,124,362,55,90,15,0,23,77,69,123,0,0,0,0,0,0,0,0,0,0,0
