mlbamID,playerName,team,league,defaultPos,age,AB,R,H,2B,3B,HR,BB,HBP,SF,SH,RBI,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
110029,Bobby Abreu,LAA,AL,,35,589,105,161,38,4,17,88,3,5,1,100,123,22,8,0,0,0,0,0,0,0,150,150
110189,Moises Alou,,,,42,254,34,78,14,1,12,23,2,3,0,44,26,2,1,0,0,0,0,0,13,0,0,13
110236,Garret Anderson,ATL,NL,,37,523,66,146,29,2,15,32,1,6,0,84,76,3,2,0,0,0,0,0,82,0,0,82
110383,Rich Aurilia,SFN,NL,,37,404,45,113,22,1,11,32,2,3,1,54,55,1,0,0,82,1,63,0,0,0,0,0
110385,Brad Ausmus,LAN,NL,,40,333,29,77,13,1,3,35,4,2,6,32,61,3,2,77,2,1,1,0,0,0,0,0
110870,Gary Bennett,,,,37,135,10,32,5,0,3,11,1,2,2,17,20,0,0,10,0,0,0,0,0,0,0,0
111072,Henry Blanco,SDN,NL,,37,162,17,43,7,0,4,10,1,1,3,20,26,0,0,45,1,0,0,0,0,0,0,0
111213,Aaron Boone,HOU,NL,,35,296,34,72,15,1,8,23,7,3,2,38,60,2,2,0,54,1,16,0,0,0,0,0
111548,Emil Brown,SDN,NL,,34,441,53,107,20,2,12,35,4,6,0,71,81,6,2,0,1,0,0,0,65,1,55,100
111851,Orlando Cabrera,OAK,AL,,34,625,95,169,33,2,8,49,3,9,3,65,67,18,4,0,0,0,0,161,0,0,0,0
111867,Miguel Cairo,PHI,NL,,35,245,29,57,14,2,1,18,3,2,6,26,34,8,2,0,70,5,19,1,2,0,1,3
111904,Mike Cameron,MIL,NL,,36,496,75,127,32,5,23,63,6,3,1,73,141,17,5,0,0,0,0,0,0,119,0,119
112077,Raul Casanova,NYN,NL,,36,206,21,54,11,1,6,16,1,1,0,26,31,0,0,13,0,0,0,0,0,0,0,0
112087,Sean Casey,,,,34,362,38,104,25,0,4,31,4,2,0,41,40,1,1,0,45,0,0,0,0,0,0,0
112116,Luis Castillo,NYN,NL,,33,494,70,134,16,4,3,59,1,3,10,42,47,16,5,0,0,81,0,0,0,0,0,0
112128,Juan Castro,LAN,NL,,37,211,19,48,9,1,3,12,1,2,3,21,34,0,1,0,0,2,5,57,0,0,0,0
112131,Frank Catalanotto,TEX,AL,,35,347,46,92,27,1,6,33,8,2,4,40,40,1,2,0,33,0,0,0,26,0,0,26
112223,Raul Chavez,TOR,AL,,36,233,20,56,11,1,4,10,2,1,2,23,17,0,0,35,0,0,0,0,0,0,0,0
112316,Tony Clark,ARI,NL,,37,207,20,48,7,0,9,27,1,2,0,43,58,0,0,0,26,0,0,0,0,0,0,0
112736,Craig Counsell,MIL,NL,,38,333,42,77,15,1,3,43,6,2,3,26,51,8,3,0,0,19,38,24,0,0,0,0
113028,Johnny Damon,NYA,AL,,35,564,100,156,29,4,16,62,2,3,2,71,84,22,6,0,1,0,0,0,87,34,0,113
113232,Carlos Delgado,NYN,NL,,37,555,81,151,32,1,30,68,10,8,0,109,119,1,0,0,154,0,0,0,0,0,0,0
113240,David Dellucci,CLE,AL,,35,300,43,71,16,3,11,30,6,3,0,41,72,2,2,0,0,0,0,0,56,0,0,56
113660,Ray Durham,,,,37,444,64,116,28,2,13,57,3,4,1,65,69,7,3,0,0,95,0,0,0,0,0,0
113679,Jermaine Dye,CHA,AL,,35,549,89,148,34,2,28,47,6,5,0,90,111,4,2,0,0,0,0,0,0,0,151,151
113702,Damion Easley,,,,39,263,29,69,9,2,7,21,6,2,2,37,42,1,1,0,4,64,1,8,7,0,0,7
113744,Jim Edmonds,,,,39,375,56,96,20,2,15,53,1,4,1,59,99,2,2,0,0,0,0,0,0,103,0,103
113889,Darin Erstad,HOU,NL,,35,324,41,82,16,1,4,23,2,2,3,32,59,4,2,0,12,0,0,0,56,40,6,88
114031,Sal Fasano,COL,NL,,37,181,18,39,8,1,5,10,7,1,2,18,42,0,0,15,1,0,0,0,0,0,0,0
114260,Cliff Floyd,SDN,NL,,36,321,42,82,15,1,13,35,7,3,0,51,61,3,0,0,0,0,0,0,0,0,0,0
114596,Nomar Garciaparra,OAK,AL,,35,332,42,91,17,1,10,27,3,3,0,54,30,2,1,0,8,0,11,31,0,0,0,0
114739,Jason Giambi,OAK,AL,,38,407,65,97,17,0,24,72,16,5,0,82,99,2,0,0,113,0,0,0,0,0,0,0
114789,Brian Giles,SDN,NL,,38,548,72,155,34,2,13,81,3,4,0,75,61,5,4,0,0,0,0,0,0,2,144,144
114909,Chris Gomez,BAL,AL,,38,205,23,59,11,0,2,13,1,2,3,22,28,1,1,0,5,18,20,13,0,0,0,0
115017,Tony Graffanino,,,,37,258,35,68,14,1,5,25,3,1,2,30,41,2,2,,,,,,,,,
115135,Ken Griffey Jr.,SEA,AL,,39,490,73,130,24,1,18,65,2,6,0,76,98,2,1,0,0,0,0,0,0,32,91,123
115210,Mark Grudzielanek,,,,39,441,59,126,27,3,5,23,5,3,2,43,63,2,2,0,0,85,0,0,0,0,0,0
115223,Vladimir Guerrero,LAA,AL,,33,561,87,169,34,2,29,56,6,5,0,106,70,7,3,0,0,0,0,0,0,0,99,99
115229,Jose Guillen,KCA,AL,,33,514,64,138,32,2,19,29,12,5,0,82,97,2,1,0,0,0,0,0,45,0,67,109
115608,Scott Hatteberg,CIN,NL,,39,287,37,81,16,1,5,38,2,3,1,34,33,1,1,0,16,0,0,0,0,0,0,0
115732,Todd Helton,COL,NL,,35,454,74,133,32,1,12,85,3,4,0,59,67,1,1,0,81,0,0,0,0,0,0,0
116338,Torii Hunter,LAA,AL,,33,546,84,149,34,2,25,46,6,3,0,87,103,16,6,0,0,0,0,0,0,137,0,137
116380,Raul Ibanez,PHI,NL,,37,610,83,171,36,5,23,63,3,6,0,111,105,2,3,0,0,0,0,0,153,0,0,153
116539,Derek Jeter,NYA,AL,,35,617,101,183,32,4,12,58,11,3,6,75,100,15,6,0,0,0,0,148,0,0,0,0
116662,Andruw Jones,TEX,AL,,32,448,65,104,20,2,23,57,7,6,0,79,110,4,2,0,0,0,0,0,0,66,0,66
116706,Chipper Jones,ATL,NL,,37,449,86,152,31,2,22,81,1,4,0,84,68,4,1,0,0,0,115,0,0,0,0,0
116974,Jason Kendall,MIL,NL,,35,521,54,131,26,1,3,47,12,3,5,49,50,6,4,149,0,0,0,0,0,0,0,0
116999,Jeff Kent,,,,41,464,60,131,27,2,16,44,7,4,0,73,65,1,2,0,1,116,0,0,0,0,0,0
117244,Paul Konerko,CHA,AL,,33,518,78,133,26,1,24,70,6,5,0,82,97,1,0,0,116,0,0,0,0,0,0,0
117276,Mark Kotsay,BOS,AL,,33,414,49,110,28,2,6,35,1,3,2,47,46,3,3,0,6,0,0,0,0,84,19,103
117601,Derrek Lee,CHN,NL,,33,507,83,153,34,2,18,63,3,4,0,73,101,7,3,0,153,0,0,0,0,0,0,0
117928,Mark Loretta,LAN,NL,,37,422,47,119,21,1,4,42,5,4,2,45,43,2,1,0,2,46,17,5,0,0,0,0
119811,Trot Nixon,MIL,NL,,34,327,44,83,18,0,10,49,3,3,0,46,56,1,1,0,0,0,0,0,6,0,5,10
119853,Greg Norton,ATL,NL,,36,253,35,69,14,0,9,38,1,1,1,38,58,1,2,0,11,0,0,0,25,0,2,26
119865,Abraham Nunez,NYN,NL,,32,489,57,113,19,1,7,55,2,2,5,51,57,4,1,0,0,0,0,0,0,0,0,0
120044,Magglio Ordonez,DET,AL,,35,550,83,168,36,1,21,54,3,5,0,103,79,2,3,0,0,0,0,0,0,0,135,135
120074,David Ortiz,BOS,AL,,33,513,103,145,36,1,37,96,3,4,0,108,100,2,0,0,0,0,0,0,0,0,0,0
120416,Tomas Perez,HOU,NL,,35,332,33,76,15,1,2,17,1,3,4,28,38,1,2,0,0,5,1,0,0,0,0,0
120691,Jorge Posada,NYA,AL,,37,371,54,105,25,1,12,53,5,3,0,62,74,1,0,30,7,0,0,0,0,0,0,0
120903,Manny Ramirez,LAN,NL,,37,512,89,154,27,1,32,88,8,6,0,111,110,1,0,0,0,0,0,0,119,0,0,119
121074,Edgar Renteria,SFN,NL,,33,536,84,153,28,2,11,47,1,3,4,60,78,9,3,0,0,0,0,138,0,0,0,0
121347,Alex Rodriguez,NYA,AL,,33,554,116,161,29,1,37,80,14,5,0,120,126,17,4,0,0,0,131,0,0,0,0,0
121358,Ivan Rodriguez,HOU,NL,,37,476,56,130,26,2,10,21,2,3,2,52,82,6,2,112,0,0,0,0,0,0,0,0
121409,Scott Rolen,TOR,AL,,34,416,61,107,30,1,13,42,7,5,0,61,65,4,2,0,0,0,115,0,0,0,0,0
122027,Richie Sexson,,,,34,429,53,98,22,0,23,55,3,3,0,71,116,1,0,0,92,0,0,0,0,0,0,0
122111,Gary Sheffield,DET,AL,,39,410,68,102,15,0,16,56,6,3,0,62,71,10,3,0,0,0,0,0,6,0,0,6
122644,Matt Stairs,PHI,NL,,41,361,51,94,19,1,15,41,4,3,0,55,84,1,1,0,0,0,0,0,9,0,10,19
122784,Shannon Stewart,TOR,AL,,35,346,41,92,14,1,6,30,3,2,1,33,42,5,2,0,0,0,0,0,40,0,0,40
123040,Mark Sweeney,,,,38,178,19,42,9,1,3,22,2,1,1,22,42,1,0,0,2,0,0,0,1,0,0,1
123041,Mike Sweeney,SEA,AL,,35,255,26,62,15,0,8,19,4,3,0,38,34,1,0,0,13,0,0,0,0,0,0,0
