mlbamID,playerName,team,league,defaultPos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
110029,Bobby Abreu,LAA,AL,,35,147,554,91,150,33,2,14,86,18,7,86,117,2,0,0,0,0,0,0,0,150,150
110189,Moises Alou,,,,42,103,369,47,102,17,1,14,52,2,1,32,41,2,0,0,0,0,0,13,0,0,13
110236,Garret Anderson,ATL,NL,,37,128,493,63,136,25,1,16,78,3,1,33,74,1,0,0,0,0,0,82,0,0,82
110383,Rich Aurilia,SFN,NL,,37,115,377,43,99,19,1,10,47,1,0,30,53,2,0,82,1,63,0,0,0,0,0
110385,Brad Ausmus,LAN,NL,,40,116,339,29,72,12,1,3,30,2,1,39,65,3,77,2,1,1,0,0,0,0,0
110870,Gary Bennett,,,,37,68,179,13,39,7,0,3,21,1,0,16,28,1,10,0,0,0,0,0,0,0,0
111072,Henry Blanco,SDN,NL,,37,74,193,17,43,7,0,4,22,0,0,13,35,1,45,1,0,0,0,0,0,0,0
111213,Aaron Boone,HOU,NL,,36,114,334,41,81,15,1,10,42,3,1,27,67,5,0,54,1,16,0,0,0,0,0
111548,Emil Brown,SDN,NL,,34,128,440,56,109,19,2,12,63,6,2,41,89,3,0,1,0,0,0,65,1,55,100
111851,Orlando Cabrera,OAK,AL,,34,145,584,85,160,32,1,8,63,15,4,49,63,2,0,0,0,0,161,0,0,0,0
111867,Miguel Cairo,PHI,NL,,35,107,260,33,65,14,1,1,24,8,2,20,35,3,0,70,5,19,1,2,0,1,3
111904,Mike Cameron,MIL,NL,,36,126,479,74,115,25,3,21,65,14,5,60,138,5,0,0,0,0,0,0,119,0,119
112077,Raul Casanova,NYN,NL,,36,76,240,23,57,11,0,8,30,0,0,20,47,1,13,0,0,0,0,0,0,0,0
112087,Sean Casey,,,,34,123,409,45,115,24,1,6,47,1,1,37,46,3,0,45,0,0,0,0,0,0,0
112116,Luis Castillo,NYN,NL,,33,125,473,73,130,19,3,3,36,15,5,62,46,1,0,0,81,0,0,0,0,0,0
112128,Juan Castro,LAN,NL,,37,104,252,23,56,10,1,4,25,1,0,14,41,1,0,0,2,5,57,0,0,0,0
112131,Frank Catalanotto,TEX,AL,,35,116,367,47,99,23,2,7,42,2,1,35,42,6,0,33,0,0,0,26,0,0,26
112223,Raul Chavez,TOR,AL,,36,86,271,24,62,12,0,4,27,1,0,12,41,3,35,0,0,0,0,0,0,0,0
112316,Tony Clark,ARI,NL,,37,110,206,22,49,8,0,11,37,0,0,26,59,1,0,26,0,0,0,0,0,0,0
112736,Craig Counsell,MIL,NL,,38,116,335,44,75,15,1,4,22,7,3,46,52,4,0,0,19,38,24,0,0,0,0
112903,Jose Cruz,HOU,NL,,35,108,290,38,65,14,1,8,26,3,1,44,73,1,0,0,0,0,0,10,5,3,15
113028,Johnny Damon,NYA,AL,,35,140,551,97,152,27,3,15,65,19,5,62,81,2,0,1,0,0,0,87,34,0,113
113232,Carlos Delgado,NYN,NL,,37,138,518,74,132,25,1,29,93,1,0,63,114,7,0,154,0,0,0,0,0,0,0
113240,David Dellucci,CLE,AL,,35,116,329,50,77,15,2,12,40,3,1,37,82,5,0,0,0,0,0,56,0,0,56
113358,Mike DiFelice,TBA,AL,,40,81,276,23,55,10,0,6,32,0,0,21,78,2,7,0,0,0,0,0,0,0,0
113660,Ray Durham,,,,37,129,427,59,107,23,1,12,57,6,2,49,69,2,0,0,95,0,0,0,0,0,0
113679,Jermaine Dye,CHA,AL,,35,140,524,78,141,28,1,30,85,4,2,46,106,4,0,0,0,0,0,0,0,151,151
113702,Damion Easley,,,,39,103,266,30,63,10,1,8,32,1,0,23,43,4,0,4,64,1,8,7,0,0,7
113744,Jim Edmonds,,,,39,112,356,48,81,16,1,16,54,2,1,51,96,1,0,0,0,0,0,0,103,0,103
113889,Darin Erstad,HOU,NL,,35,124,374,48,92,18,1,5,36,4,2,29,71,2,0,12,0,0,0,56,40,6,88
114031,Sal Fasano,COL,NL,,37,82,231,23,52,10,0,9,24,0,0,13,65,6,15,1,0,0,0,0,0,0,0
114260,Cliff Floyd,SDN,NL,,36,116,366,48,90,15,1,14,52,3,1,42,74,6,0,0,0,0,0,0,0,0,0
114596,Nomar Garciaparra,OAK,AL,,35,112,395,50,108,20,1,12,60,2,1,31,35,2,0,8,0,11,31,0,0,0,0
114739,Jason Giambi,OAK,AL,,38,126,398,58,92,15,0,24,74,1,0,78,97,12,0,113,0,0,0,0,0,0,0
114789,Brian Giles,SDN,NL,,38,135,512,73,136,28,2,12,60,4,3,83,58,3,0,0,0,0,0,0,2,144,144
114909,Chris Gomez,BAL,AL,,38,92,210,23,55,10,0,2,19,1,1,16,27,1,0,5,18,20,13,0,0,0,0
114935,Luis Gonzalez,COL,NL,,41,134,443,56,106,23,1,11,50,2,1,49,61,3,0,0,0,0,0,64,0,22,85
115135,Ken Griffey,SEA,AL,,39,123,454,57,106,19,1,17,61,1,1,57,95,2,0,0,0,0,0,0,32,91,123
115210,Mark Grudzielanek,,,,39,116,455,57,121,24,1,6,40,2,1,25,67,4,0,0,85,0,0,0,0,0,0
115223,Vladimir Guerrero,LAA,AL,,33,144,545,84,166,32,2,27,102,6,2,58,67,5,0,0,0,0,0,0,0,99,99
115229,Jose Guillen,KCA,AL,,33,138,528,65,140,30,1,18,79,2,1,30,97,10,0,0,0,0,0,45,0,67,109
115732,Todd Helton,COL,NL,,35,133,485,75,138,30,2,14,65,1,1,95,71,3,0,81,0,0,0,0,0,0,0
116338,Torii Hunter,LAA,AL,,33,136,513,80,141,29,1,22,81,14,5,44,95,4,0,0,0,0,0,0,137,0,137
116380,Raul Ibanez,PHI,NL,,37,144,557,85,160,30,2,26,99,2,2,60,90,2,0,0,0,0,0,153,0,0,153
116539,Derek Jeter,NYA,AL,,35,146,595,94,175,30,3,12,68,12,4,59,98,8,0,0,0,0,148,0,0,0,0
116662,Andruw Jones,TEX,AL,,32,140,494,72,114,22,1,27,87,3,1,58,121,5,0,0,0,0,0,0,66,0,66
