mlbamID,playerName,team,league,defaultPos,W,L,BFP,IP,H,HR,BB,K,HBP,R,ER,Age,G_SP,G_RP
110683,Miguel Batista,SEA,AL,,6,9,626,138,148,15,75,81,6,83,77,38,20,24
110859,Armando Benitez,TOR,AL,,1,2,124,28,28,4,13,24,1,16,15,36,0,8
111244,Joe Borowski,,,,2,2,163,38,39,4,14,26,1,19,18,38,0,18
111492,Doug Brocail,HOU,NL,,3,3,204,47,48,5,17,36,2,24,22,42,0,72
111838,Paul Byrd,,,,7,10,639,147,180,22,29,72,6,89,82,38,30,0
112020,Chris Carpenter,SLN,NL,,5,4,356,84,86,7,24,61,4,39,36,34,3,1
112526,Bartolo Colon,CHA,AL,,3,4,267,61,71,9,18,39,2,37,34,36,7,0
113296,Elmer Dessens,NYN,NL,,2,2,135,31,34,3,11,22,1,17,16,38,0,4
113833,Alan Embree,COL,NL,,3,3,219,50,50,5,22,44,2,26,24,39,0,70
113898,Kelvim Escobar,LAA,AL,,7,5,475,112,110,9,38,87,3,51,47,33,5,0
113915,Shawn Estes,LAN,NL,,3,3,224,51,56,6,20,28,3,29,27,36,8,1
113961,Scott Eyre,PHI,NL,,3,2,174,40,38,4,19,39,2,20,19,37,0,38
114342,Keith Foulke,,,,2,2,142,33,33,4,12,27,1,17,16,36,0,31
114849,Tom Glavine,ATL,NL,,4,5,379,83,99,11,37,45,3,55,51,43,13,0
114971,Tom Gordon,ARI,NL,,1,2,141,31,34,4,15,26,1,19,18,41,0,34
115216,Eddie Guardado,TEX,AL,,2,2,159,36,40,5,14,23,1,21,19,38,0,64
115399,Mike Hampton,HOU,NL,,2,4,236,53,61,7,21,31,2,33,31,36,13,0
115629,LaTroy Hawkins,HOU,NL,,3,3,232,55,54,5,19,40,1,25,23,36,0,57
115817,Livan Hernandez,NYN,NL,,8,11,767,172,212,22,54,77,4,108,100,34,31,0
116034,Trevor Hoffman,MIL,NL,,3,2,174,42,40,5,12,35,1,19,18,41,0,48
116414,Jason Isringhausen,TBA,AL,,3,3,215,48,48,5,25,36,3,26,24,36,0,42
116595,Jason Johnson,NYA,AL,,6,5,445,101,116,13,34,59,5,60,56,35,2,14
116615,Randy Johnson,SFN,NL,,6,6,459,109,108,13,30,96,4,52,48,45,30,0
116734,Todd Jones,DET,AL,,2,3,187,42,48,4,17,21,2,25,23,41,0,45
117758,Jon Lieber,,,,2,2,124,29,32,3,6,19,1,14,13,39,1,25
117842,Esteban Loaiza,CHA,AL,,3,4,258,58,72,10,18,28,2,39,36,37,3,7
117955,Derek Lowe,ATL,NL,,12,7,716,173,175,12,46,114,3,74,68,36,34,0
118120,Greg Maddux,,,,7,9,605,141,173,15,26,66,4,79,73,43,33,0
118158,Ron Mahay,KCA,AL,,3,4,257,57,60,5,29,44,2,32,30,38,0,57
118377,Pedro Martinez,,,,4,5,337,76,83,11,29,58,4,45,42,37,20,0
118967,Kent Mercker,CIN,NL,,0,1,53,11,14,2,6,6,0,8,7,41,0,15
119125,Trever Miller,SLN,NL,,3,2,177,42,36,4,18,40,2,18,17,36,0,68
119154,Kevin Millwood,TEX,AL,,9,9,709,160,189,17,52,112,6,94,87,34,29,0
119215,Brian Moehler,HOU,NL,,3,3,228,53,59,5,15,34,2,28,26,37,26,5
119403,Matt Morris,PIT,NL,,5,8,510,115,138,12,36,57,6,69,64,34,5,0
119469,Jamie Moyer,PHI,NL,,8,8,605,138,155,19,46,83,6,81,75,46,33,0
119608,Mike Mussina,NYA,AL,,8,8,594,141,152,14,30,105,5,68,63,40,34,0
119984,Darren Oliver,LAA,AL,,3,3,233,55,56,5,17,38,2,26,24,38,0,54
120221,Chan Ho Park,PHI,NL,,4,3,243,56,56,6,21,50,3,28,26,36,5,49
120401,Troy Percival,TBA,AL,,2,2,132,30,28,4,15,24,1,16,15,39,0,50
120485,Andy Pettitte,NYA,AL,,10,8,724,166,190,16,52,118,5,91,84,37,33,0
121096,Dennys Reyes,SLN,NL,,3,2,187,44,41,3,18,38,2,19,18,32,0,75
121099,Al Reyes,,,,2,2,136,32,30,4,13,31,1,16,15,38,0,26
121125,Arthur Rhodes,CIN,NL,,2,2,134,31,28,2,15,31,1,14,13,39,0,61
121250,Mariano Rivera,NYA,AL,,5,2,252,63,56,4,11,60,3,22,20,39,0,64
121386,Kenny Rogers,,,,4,7,444,98,117,13,41,51,4,64,59,44,30,0
121556,Glendon Rusch,,,,3,3,205,47,52,5,17,35,1,26,24,34,9,26
121834,Jason Schmidt,LAN,NL,,3,4,305,69,70,9,32,51,3,39,36,36,,
121955,Rudy Seanez,,,,2,2,190,42,44,4,21,32,2,24,22,40,0,42
122195,Brian Shouse,TBA,AL,,2,2,170,39,42,3,14,22,1,20,19,40,0,69
122477,John Smoltz,BOS,AL,,6,4,391,92,97,9,25,72,3,45,42,42,5,1
122620,Russ Springer,OAK,AL,,2,2,188,44,42,5,16,33,2,21,19,40,0,70
122915,Tanyon Sturtze,LAN,NL,,1,2,110,24,27,3,12,15,1,15,14,38,0,3
122987,Jeff Suppan,MIL,NL,,7,11,726,161,196,20,62,86,6,104,96,34,31,0
123118,Julian Tavarez,WAS,NL,,3,3,260,59,63,4,25,45,3,31,29,36,0,52
123348,Mike Timlin,,,,2,3,199,45,49,5,17,29,2,25,23,43,0,47
123387,Brett Tomko,NYA,AL,,4,2,225,53,56,5,16,40,1,26,24,36,10,12
123415,Salomon Torres,MIL,NL,,3,4,265,60,65,5,25,40,3,33,31,37,0,71
123431,Steve Trachsel,BAL,AL,,3,6,373,80,97,12,44,31,2,58,54,38,8,2
123725,Ron Villone,NYN,NL,,3,3,247,55,51,5,34,49,3,29,27,39,0,74
123790,Billy Wagner,NYN,NL,,4,2,213,52,45,4,16,55,2,20,19,37,0,45
123801,Tim Wakefield,BOS,AL,,7,6,528,121,127,16,45,74,6,67,62,42,30,0
123828,Jamie Walker,BAL,AL,,2,2,183,43,45,6,13,27,1,23,21,37,0,59
124000,Dave Weathers,CIN,NL,,3,3,272,62,63,6,26,40,3,32,30,39,0,72
124604,Jamey Wright,KCA,AL,,3,4,270,60,68,4,28,40,4,35,32,34,0,75
124805,B.J. Ryan,TOR,AL,,3,2,224,53,46,5,23,51,2,23,21,33,0,60
131702,Braden Looper,MIL,NL,,7,8,568,131,148,17,37,72,6,74,68,34,33,0
132220,Jarrod Washburn,SEA,AL,,8,9,652,151,158,18,51,84,6,80,74,34,26,2
132241,Bryan Corey,TEX,AL,,4,3,270,62,68,7,21,39,2,34,31,35,0,46
