mlbamID,playerName,team,league,defaultPos,Age,W,L,S,G,GS,IP,H,R,ER,HR,BB,K,WP,HBP,G_SP,G_RP
110134,Antonio Alfonseca,,,,37,4,2,,53,0,49,59,30,26,4,23,28,1,1,,
110683,Miguel Batista,,,RP,38,7,8,,50,11,106,118,64,57,12,56,71,6,4,0,56
110859,Armando Benitez,HOU,NL,RP,37,1,2,,17,0,17,18,12,10,4,7,17,0,0,,
111492,Doug Brocail,,,RP,42,2,2,,31,0,31,30,15,15,4,12,22,1,1,0,20
111838,Paul Byrd,,,SP,39,5,4,,13,12,75,93,46,42,11,15,35,1,2,6,1
112020,Chris Carpenter,SLN,NL,SP,24,10,3,,18,18,125,103,41,38,7,26,94,1,5,28,0
112107,Alberto Castillo,,,,34,1,1,,33,0,30,35,17,15,3,11,23,0,2,,
112526,Bartolo Colon,,,SP,34,3,4,,8,8,44,51,30,25,7,14,27,1,1,12,0
113296,Elmer Dessens,NYN,NL,RP,38,2,1,,24,1,30,28,15,14,4,10,19,1,1,0,28
113833,Alan Embree,,,RP,40,2,3,,53,0,45,47,26,24,5,19,36,2,1,0,36
113898,Kelvim Escobar,NYN,NL,SP,33,3,2,,7,7,45,45,20,18,3,14,34,2,1,1,0
113915,Shawn Estes,,,SP,36,3,3,,10,10,57,55,27,25,5,21,32,1,1,,
113961,Scott Eyre,,,RP,37,2,1,,32,0,25,23,12,11,3,13,23,1,1,0,42
114354,Chad Fox,CHN,NL,RP,39,1,0,,9,0,8,8,5,5,1,4,6,1,0,0,2
114849,Tom Glavine,,,SP,43,4,3,,13,13,70,73,40,39,10,28,38,2,2,,
114971,Tom Gordon,,,RP,42,1,2,,20,0,19,20,13,12,2,13,14,2,0,0,3
115216,Eddie Guardado,WAS,NL,RP,39,2,2,,45,0,38,41,22,22,6,14,23,1,1,0,48
115399,Mike Hampton,,,SP,37,5,6,,15,15,83,95,50,45,10,33,53,1,2,21,0
115629,Latroy Hawkins,MIL,NL,RP,37,2,3,1,63,0,63,60,24,23,6,19,44,2,1,0,65
115803,Felix Heredia,,,,33,2,2,,40,0,44,47,25,23,6,19,32,2,2,,
115817,Livan Hernandez,,,SP,34,10,11,,31,31,186,215,111,100,23,64,96,2,2,31,0
116034,Trevor Hoffman,MIL,NL,RP,42,2,2,30,38,0,37,26,13,12,3,10,33,1,1,0,55
116414,Jason Isringhausen,,,RP,37,1,2,,24,0,24,23,12,12,2,13,17,1,2,0,9
116595,Jason Johnson,NYA,AL,SP,32,3,5,,14,10,65,79,48,43,12,26,35,4,1,,
116615,Randy Johnson,,,SP,46,7,5,,17,15,93,95,50,45,15,27,86,3,3,17,5
117928,Mark Loretta,,,3B,38,0,0,,9,0,9,9,4,4,1,3,7,0,1,32,-31
117955,Derek Lowe,ATL,NL,SP,36,14,11,,33,33,199,205,97,88,17,59,126,3,3,34,0
118158,Ron Mahay,,,RP,38,3,1,,55,0,55,63,31,28,8,25,45,3,2,0,57
118377,Pedro Martinez,,,SP,24,4,2,,9,9,48,50,28,25,8,15,42,1,3,9,0
119125,Trever Miller,SLN,NL,RP,36,3,1,,70,0,47,37,18,17,5,16,48,1,3,0,70
119154,Kevin Millwood,BAL,AL,SP,35,12,11,,30,30,187,218,101,91,20,60,125,6,9,31,0
119215,Brian Moehler,HOU,NL,SP,38,5,6,,21,16,97,115,59,52,12,30,55,2,2,29,0
119469,Jamie Moyer,PHI,NL,SP,47,13,10,,31,28,178,192,97,93,25,52,110,2,9,25,5
119984,Darren Oliver,,,RP,39,5,1,,60,1,73,65,28,28,6,21,58,5,4,1,62
120221,Chan Ho Park,,,RP,36,4,5,,40,8,85,89,50,45,11,32,69,3,4,7,38
120401,Troy Percival,,,RP,40,1,1,,27,0,26,21,15,14,5,12,20,2,1,0,14
120485,Andy Pettitte,NYA,AL,SP,37,14,10,,32,32,199,209,101,91,18,67,149,4,4,32,0
121096,Dennys Reyes,SLN,NL,RP,32,2,1,,67,0,42,36,16,16,3,19,36,4,2,0,75
121125,Arthur Rhodes,CIN,NL,RP,40,2,2,,64,0,50,38,17,17,2,21,47,2,1,0,66
121215,Ricardo Rincon,,,,39,1,1,,18,0,17,17,9,9,2,6,13,1,1,,
121250,Mariano Rivera,NYA,AL,RP,40,4,4,40,66,0,69,51,20,18,5,11,72,1,2,0,66
121361,Nerio Rodriguez,,,,36,5,8,,17,16,119,130,74,67,18,45,86,5,3,,
121556,Glendon Rusch,,,RP,35,3,2,,20,4,44,62,32,27,6,14,29,1,0,0,11
121696,Jose Santiago,,,,28,3,6,,41,5,85,108,66,59,18,27,36,2,0,,
121834,Jason Schmidt,,,SP,37,2,3,,8,8,42,39,21,20,4,19,30,2,2,4,0
121955,Rudy Seanez,LAA,AL,RP,41,2,2,,32,0,32,35,19,17,4,15,25,1,1,,
122007,Dan Serafini,,,,36,1,1,,20,1,24,24,13,12,2,11,16,1,1,,
