mlbamID,playerName,team,league,defaultPos,W,L,S,IP,H,R,ER,HR,BB,K,HBP,G_SP,G_RP
110683,Miguel Batista,WAS,NL,RP,5,7,0,106,111,62,55,12,56,77,4,0,56
110859,Armando Benitez,HOU,NL,RP,1,1,0,17,18,12,10,4,7,17,0,0,0
111492,Doug Brocail,,,RP,2,1,0,31,30,15,15,4,12,22,1,0,20
111838,Paul Byrd,,,SP,4,4,0,75,93,46,42,11,15,35,2,6,1
112020,Chris Carpenter,SLN,NL,SP,10,4,0,125,103,41,38,7,26,94,5,28,0
112107,Alberto Castillo,BAL,AL,RP,2,1,0,30,35,17,15,3,11,23,2,0,0
112526,Bartolo Colon,,,SP,2,3,0,44,51,30,25,7,14,27,1,12,0
113296,Elmer Dessens,NYN,NL,RP,2,1,0,30,28,15,14,4,10,19,1,0,28
113833,Alan Embree,BOS,AL,RP,2,3,0,45,47,26,24,5,19,36,1,0,36
113898,Kelvim Escobar,NYN,NL,SP,3,2,0,45,40,18,16,3,15,37,1,1,0
113915,Shawn Estes,WAS,NL,SP,3,3,0,57,55,27,25,5,21,32,1,0,0
113961,Scott Eyre,,,RP,2,1,0,25,23,12,11,3,13,23,1,0,42
114354,Chad Fox,CHN,NL,RP,0,1,0,8,8,5,5,1,4,6,0,0,2
114849,Tom Glavine,,,SP,4,4,0,70,73,40,39,10,28,38,2,0,0
114971,Tom Gordon,,,RP,1,1,0,19,20,13,12,2,13,14,0,0,3
115216,Eddie Guardado,WAS,NL,RP,2,2,0,38,37,20,19,6,14,25,1,0,48
115399,Mike Hampton,,,SP,3,6,0,83,95,50,45,10,33,53,2,21,0
115629,Latroy Hawkins,MIL,NL,RP,4,3,1,63,60,24,23,6,19,44,1,0,65
115817,Livan Hernandez,WAS,NL,SP,9,12,0,186,215,111,100,23,64,96,2,31,0
116034,Trevor Hoffman,MIL,NL,RP,3,1,31,37,26,13,12,3,10,33,1,0,55
116414,Jason Isringhausen,,,RP,1,2,0,24,23,12,12,2,13,17,2,0,9
116595,Jason Johnson,NYA,AL,SP,3,4,0,65,79,48,43,12,26,35,1,0,0
116615,Randy Johnson,,,SP,5,5,0,93,95,50,45,15,27,86,3,17,5
117928,Mark Loretta,,,3B,1,0,0,9,9,4,4,1,3,7,1,32,-31
117955,Derek Lowe,ATL,NL,SP,12,10,0,199,205,97,88,17,59,126,3,34,0
118158,Ron Mahay,MIN,AL,RP,3,3,0,55,63,31,28,8,25,45,2,0,57
118377,Pedro Martinez,,,SP,3,2,0,48,50,28,25,8,15,42,3,9,0
119125,Trever Miller,SLN,NL,RP,3,2,0,47,37,18,17,5,16,48,3,0,70
119154,Kevin Millwood,BAL,AL,SP,10,11,0,187,218,101,91,20,60,125,9,31,0
119215,Brian Moehler,HOU,NL,SP,4,7,0,97,115,59,52,12,30,55,2,29,0
119469,Jamie Moyer,PHI,NL,SP,10,10,0,178,192,97,93,25,52,110,9,25,5
119984,Darren Oliver,TEX,AL,RP,5,3,0,73,66,29,29,6,22,58,4,1,62
120221,Chan Ho Park,NYA,AL,RP,5,4,0,85,94,51,46,11,31,64,4,7,38
120401,Troy Percival,,,RP,1,2,0,26,21,15,14,5,12,20,1,0,14
120485,Andy Pettitte,NYA,AL,SP,13,9,0,199,209,101,91,18,67,149,4,32,0
121096,Dennys Reyes,SLN,NL,RP,3,2,0,42,36,16,16,3,19,36,2,0,75
121125,Arthur Rhodes,CIN,NL,RP,4,2,0,50,38,17,17,2,21,47,1,0,66
121250,Mariano Rivera,NYA,AL,RP,6,2,39,69,51,20,18,5,11,72,2,0,66
121556,Glendon Rusch,,,RP,2,3,0,44,62,32,27,6,14,29,0,0,11
121834,Jason Schmidt,,,SP,2,3,0,42,39,21,20,4,19,30,2,4,0
121955,Rudy Seanez,LAA,AL,RP,2,2,0,32,35,19,17,4,15,25,1,0,0
122195,Brian Shouse,BOS,AL,RP,2,1,0,28,30,14,14,3,7,17,1,0,45
122477,John Smoltz,,,SP,4,4,0,72,81,41,36,8,17,61,2,15,0
122620,Russ Springer,,,RP,4,2,0,58,55,25,24,7,18,53,2,0,74
122915,Tanyon Sturtze,LAN,NL,RP,1,1,0,20,21,12,11,3,9,14,0,0,0
122987,Jeff Suppan,MIL,NL,SP,5,8,0,118,132,73,65,17,48,62,6,30,0
123118,Julian Tavarez,,,RP,3,4,0,59,65,37,29,5,32,47,3,0,42
123348,Mike Timlin,COL,NL,RP,1,2,0,28,32,17,16,4,10,19,1,0,0
123387,Brett Tomko,OAK,AL,RP,3,3,0,56,57,31,30,9,15,38,1,6,15
123725,Ron Villone,WAS,NL,RP,2,2,0,36,35,20,18,4,21,28,1,0,63
123790,Billy Wagner,ATL,NL,RP,2,1,25,27,18,9,8,2,9,33,1,0,17
123801,Tim Wakefield,BOS,AL,SP,6,6,0,104,107,56,56,12,37,63,7,21,0
123828,Jamie Walker,,,RP,1,2,0,31,41,20,18,6,7,22,1,0,22
124000,David Weathers,,,RP,4,4,0,68,60,31,31,8,30,43,3,0,68
124604,Jamey Wright,CLE,AL,RP,4,5,0,77,81,44,39,7,38,53,6,0,65
124805,B.j. Ryan,,,RP,1,2,0,25,22,14,13,3,16,23,1,0,25
131702,Braden Looper,,,SP,9,11,0,184,194,106,101,31,57,98,6,34,0
132220,Jarrod Washburn,,,SP,9,10,0,172,167,91,84,22,53,100,6,28,0
132241,Bryan Corey,TEX,AL,RP,3,4,0,62,77,44,39,9,16,31,0,0,0
132260,Sidney Ponson,,,SP,2,5,0,60,81,42,36,7,22,30,2,9,5
132980,Eric Milton,,,SP,2,3,0,44,45,21,19,5,11,32,1,5,0
133221,Justin Speier,COL,NL,RP,3,2,0,47,48,27,26,8,19,45,4,0,41
133225,Ryan Dempster,CHN,NL,SP,11,8,0,175,169,82,74,17,62,152,5,31,0
133340,Orlando Hernandez,TEX,AL,SP,2,3,0,45,42,28,26,7,19,38,2,0,0
133460,Russ Ortiz,LAN,NL,SP,2,4,0,56,62,36,32,6,30,39,2,13,10
133982,Bob Howry,ARI,NL,RP,4,4,0,69,70,35,32,8,21,55,2,0,63
134268,Kerry Wood,CLE,AL,RP,3,3,25,53,47,24,23,6,23,58,4,0,58
134280,John Halama,MIL,NL,SP,3,7,0,91,116,67,60,13,35,41,0,0,0
134320,Javier Vazquez,NYA,AL,SP,16,7,0,211,194,88,83,22,49,205,6,32,0
134321,Carl Pavano,MIN,AL,SP,5,6,0,99,116,61,55,15,21,70,4,33,0
135783,Ramon Castro,CHA,AL,C,1,0,0,10,10,5,5,1,3,7,0,46,-46
136262,Jeremy Powell,PIT,NL,RP,4,6,0,94,110,58,51,13,30,51,0,0,0
136263,Tim Byrdak,HOU,NL,RP,2,3,0,44,34,22,20,7,23,41,2,0,76
136268,Chad Bradford,,,RP,2,1,0,29,34,13,11,1,7,13,1,0,20
136422,Chris Michalak,TOR,AL,RP,1,3,0,38,48,31,28,8,18,17,0,0,0
136600,Bruce Chen,KCA,AL,SP,2,5,0,63,78,44,40,11,24,43,2,9,8
136727,Vladimir Nunez,,,RP,2,3,0,47,46,27,25,6,29,37,0,0,1
136734,Octavio Dotel,PIT,NL,RP,4,2,22,57,47,25,22,7,28,75,2,0,62
136880,Roy Halladay,PHI,NL,SP,18,8,0,233,206,82,78,19,40,204,7,32,0
150003,Seth Etherton,LAN,NL,SP,4,9,0,117,139,87,77,23,36,75,0,0,0
150009,Ramon Ortiz,LAN,NL,RP,7,7,0,124,123,61,55,14,36,89,3,0,0
150011,Scott Schoeneweis,BOS,AL,RP,2,3,0,42,42,23,23,7,20,27,3,0,45
150035,Kyle Farnsworth,KCA,AL,RP,2,2,0,35,41,20,17,5,14,35,1,0,41
150063,Wade Miller,TOR,AL,SP,1,3,0,33,36,22,20,5,19,22,0,0,0
150116,Randy Wolf,MIL,NL,SP,11,8,0,171,148,76,76,21,60,135,7,34,0
150118,Brian Fuentes,LAA,AL,RP,4,3,23,60,56,26,25,5,23,56,4,0,65
150119,Freddy Garcia,CHA,AL,SP,2,3,0,48,51,27,25,6,14,33,1,9,0
150122,Damaso Marte,NYA,AL,RP,3,2,0,42,41,21,18,4,15,41,1,0,21
150128,Denny Stark,SEA,AL,RP,1,3,0,38,44,28,26,6,27,23,0,0,9
150144,Bobby Seay,DET,AL,RP,3,2,0,49,48,24,22,3,19,40,2,0,67
150153,Nelson Figueroa,NYN,NL,SP,5,5,0,87,85,43,38,9,28,67,3,10,6
150159,Stephen Randolph,LAN,NL,RP,1,3,0,36,39,25,22,6,21,36,2,0,0
150182,Scott Williamson,DET,AL,RP,1,1,0,16,18,11,10,2,8,13,0,0,0
150185,Dave Borkowski,PHI,NL,RP,2,2,0,36,42,24,21,5,14,24,1,0,0
150188,Francisco Cordero,CIN,NL,RP,5,3,33,69,60,26,23,4,31,69,1,0,68
150203,Chris George,BAL,AL,RP,3,5,0,68,85,49,43,9,29,39,0,0,0
150204,Jeremy Hill,LAA,AL,RP,2,5,0,61,73,44,39,8,33,42,0,0,0
150205,Orber Moreno,,,,2,4,0,50,52,29,27,5,22,34,2,0,0
150207,Paul Phillips,COL,NL,C,2,4,0,52,60,38,35,7,33,37,0,12,-12
