mlbamID,playerName,IP,W,L,H,R,ER,HR,BB,K,S,team,league,defaultPos,G_SP,G_RP
434378,Justin Verlander,204,14,9,187,92,84,19,67,201,0,DET,AL,SP,35,0
448306,James Shields,204,12,10,206,98,90,26,44,155,0,TBA,AL,SP,33,0
136880,Roy Halladay,204,16,7,191,77,71,17,35,178,0,PHI,NL,SP,32,0
433587,Felix Hernandez,203,13,8,179,79,73,16,66,185,0,SEA,AL,SP,34,0
430912,Matt Cain,203,12,10,188,90,84,19,75,168,0,SFN,NL,SP,33,0
453311,Tim Lincecum,203,14,8,165,70,65,12,70,232,0,SFN,NL,SP,32,0
276520,Bronson Arroyo,203,11,13,209,107,99,28,64,135,0,CIN,NL,SP,33,0
425794,Adam Wainwright,203,14,9,190,81,74,16,59,172,0,SLN,NL,SP,34,0
425844,Zack Greinke,202,14,9,191,79,71,16,50,199,0,KCA,AL,SP,33,0
450308,Jered Weaver,201,13,10,200,100,93,24,61,162,0,LAA,AL,SP,33,0
429717,Dan Haren,201,14,8,188,82,76,22,39,192,0,ARI,NL,SP,33,0
282332,CC Sabathia,201,15,7,185,82,76,18,49,174,0,NYA,AL,SP,34,0
452657,Jon Lester,199,13,8,193,90,83,18,66,180,0,BOS,AL,SP,32,0
490063,Matt Garza,199,12,10,189,97,90,22,74,167,0,TBA,AL,SP,32,0
279824,Mark Buehrle,198,12,11,217,100,93,24,49,107,0,CHA,AL,SP,33,0
134320,Javier Vazquez,198,15,7,184,86,79,22,48,188,0,NYA,AL,SP,32,0
434622,Ubaldo Jimenez,197,13,10,189,96,88,15,88,169,0,COL,NL,SP,33,0
408241,Jake Peavy,195,12,10,175,93,85,21,68,184,0,CHA,AL,SP,16,0
117955,Derek Lowe,195,12,11,206,96,87,16,58,124,0,ATL,NL,SP,34,0
276371,Johan Santana,195,14,9,174,81,75,23,53,184,0,NYN,NL,SP,25,0
279782,Jon Garland,194,10,11,204,95,87,20,58,106,0,SDN,NL,SP,33,0
430935,Cole Hamels,194,13,9,188,89,82,25,45,170,0,PHI,NL,SP,32,0
451596,Yovani Gallardo,194,14,9,164,85,79,20,89,206,0,MIL,NL,SP,30,0
421685,Aaron Harang,194,10,11,201,99,90,28,51,165,0,CIN,NL,SP,26,0
448147,Nick Blackburn,194,11,11,226,106,96,24,42,92,0,MIN,AL,SP,33,0
433579,John Danks,193,11,11,190,98,91,24,68,147,0,CHA,AL,SP,32,0
434643,Wandy Rodriguez,193,11,11,188,90,82,21,62,175,0,HOU,NL,SP,33,0
451532,Chad Billingsley,193,13,9,171,84,78,17,80,183,0,LAN,NL,SP,32,1
458709,John Lannan,193,10,12,200,102,96,22,71,99,0,WAS,NL,SP,33,0
435178,Josh Johnson,193,13,8,187,81,75,14,58,172,0,FLO,NL,SP,33,0
407296,Carlos Zambrano,192,12,9,183,92,85,17,81,158,0,CHN,NL,SP,28,0
425856,Gavin Floyd,192,11,11,192,104,96,26,65,144,0,CHA,AL,SP,30,0
150302,Jason Marquis,192,10,12,205,102,94,17,73,101,0,WAS,NL,SP,33,0
457453,Jair Jurrjens,191,13,9,180,83,76,15,68,142,0,ATL,NL,SP,34,0
430904,Paul Maholm,191,9,11,209,99,89,18,57,122,0,PIT,NL,SP,31,0
430599,Joe Blanton,191,12,9,195,96,89,24,53,141,0,PHI,NL,SP,31,0
445060,Ricky Nolasco,190,11,10,190,95,86,24,45,178,0,FLO,NL,SP,31,0
407793,John Lackey,190,12,9,192,91,84,20,52,147,0,BOS,AL,SP,27,0
277417,Josh Beckett,190,13,8,185,89,82,21,45,177,0,BOS,AL,SP,32,0
119154,Kevin Millwood,189,10,12,215,109,99,23,65,121,0,BAL,AL,SP,31,0
444857,Scott Feldman,189,11,10,195,102,95,21,70,105,0,TEX,AL,SP,31,3
429719,Edwin Jackson,188,11,10,187,97,91,23,74,145,0,ARI,NL,SP,33,0
150116,Randy Wolf,188,11,9,177,91,85,23,65,148,0,MIL,NL,SP,34,0
435043,Zach Duke,187,9,12,222,105,94,20,44,92,0,PIT,NL,SP,32,0
434578,Joe Saunders,187,11,11,203,103,96,25,59,106,0,LAA,AL,SP,31,0
435044,Scott Baker,186,12,9,186,92,86,23,44,145,0,MIN,AL,SP,33,0
474463,Brett Anderson,186,11,11,188,94,85,22,53,153,0,OAK,AL,SP,30,0
133225,Ryan Dempster,186,11,9,182,88,80,18,65,160,0,CHN,NL,SP,31,0
435298,Jeff Niemann,186,11,11,195,104,96,24,71,128,0,TBA,AL,SP,30,1
407822,Jorge De La Rosa,185,11,12,191,103,93,21,79,172,0,COL,NL,SP,32,1
477132,Clayton Kershaw,183,12,7,148,74,70,13,95,185,0,LAN,NL,SP,30,1
334492,Joel Pineiro,183,11,11,211,99,90,18,37,88,0,LAA,AL,SP,32,0
462102,Tommy Hanson,182,12,9,158,85,78,23,80,188,0,ATL,NL,SP,21,0
456034,David Price,182,10,11,180,103,95,25,82,142,0,TBA,AL,SP,23,0
134321,Carl Pavano,182,10,11,208,107,97,26,41,124,0,MIN,AL,SP,33,0
150277,Doug Davis,182,10,11,188,97,89,20,90,136,0,MIL,NL,SP,34,0
218596,Tim Hudson,180,12,9,187,82,77,14,51,110,0,ATL,NL,SP,7,0
456027,Ross Ohlendorf,180,8,12,195,103,96,26,59,122,0,PIT,NL,SP,29,0
150359,A.J. Burnett,180,12,9,170,93,86,21,78,170,0,NYA,AL,SP,33,0
434628,Jason Hammel,179,9,10,205,103,92,20,55,127,0,COL,NL,SP,30,4
346871,Aaron Cook,179,10,9,211,96,87,17,50,83,0,COL,NL,SP,27,0
217096,Barry Zito,179,9,12,180,99,92,20,83,132,0,SFN,NL,SP,33,0
460059,Mike Pelfrey,179,9,12,197,100,91,16,65,105,0,NYN,NL,SP,31,0
460069,Ricky Romero,178,9,11,189,102,94,21,83,137,0,TOR,AL,SP,29,0
