playerName,W,L,GS,G,S,IP,H,ER,HR,K,BB
Joe Nathan,3,2,0,68,41,75,50,20,7,87,20
Joakim Soria,3,2,0,66,39,73,48,19,6,84,21
Mariano Rivera,4,3,0,67,40,74,50,20,6,76,13
Jonathan Papelbon,3,3,1,65,38,72,50,20,5,82,20
Tim Lincecum,17,6,36,36,0,220,162,65,12,257,66
Billy Wagner,2,2,0,45,24,50,38,15,4,59,18
Jonathan Broxton,4,3,0,73,44,80,62,25,5,106,30
Peter Moylan,4,3,0,68,1,75,58,23,5,64,25
Roy Halladay,18,8,37,37,0,223,175,70,20,193,34
J.P. Howell,5,4,0,69,17,76,60,24,7,84,31
Felix Hernandez,18,7,36,36,0,220,172,69,17,210,63
Zack Greinke,16,8,37,37,0,219,172,69,17,225,53
Matt Thornton,4,4,0,68,4,75,60,24,5,87,22
Andrew Bailey,4,4,0,67,39,74,60,24,7,76,24
Trevor Hoffman,3,4,0,42,25,46,38,15,4,41,11
Rafael Soriano,2,3,0,62,19,69,58,23,6,82,25
Heath Bell,4,4,0,67,40,74,62,25,4,78,26
Nick Masset,5,3,0,77,2,85,72,29,8,80,24
Mike Gonzalez,3,3,0,58,25,64,55,22,7,73,28
Johan Santana,16,8,34,34,0,206,175,70,22,189,53
Chris Carpenter,14,6,29,29,0,179,152,61,13,133,36
Ryan Madson,4,4,0,68,5,75,65,26,7,72,22
Daniel Bard,4,2,0,65,0,71,60,24,7,90,29
Mike Wuertz,4,3,0,66,0,73,62,25,7,79,25
Francisco Cordero,3,4,0,65,38,72,62,25,5,66,33
Jeremy Affeldt,3,3,0,68,0,75,65,26,7,67,31
Ramon Ramirez,5,4,0,66,0,73,65,26,7,61,29
David Aardsma,3,5,0,65,37,72,62,25,6,79,34
Adam Wainwright,16,8,35,35,0,213,188,75,17,184,58
Cliff Lee,16,8,36,36,0,220,195,78,17,174,41
Bobby Jenks,4,4,0,61,37,67,60,24,6,59,18
David Robertson,4,3,0,60,0,66,58,23,6,85,29
Huston Street,4,3,0,68,41,75,68,27,8,83,18
Brian Wilson,4,4,0,67,39,74,65,26,5,81,28
Jon Lester,17,7,35,35,0,211,188,75,19,214,62
Dan Haren,16,9,36,36,0,220,198,79,23,210,40
Carlos Marmol,3,4,0,68,37,75,68,27,6,96,40
Jose Valverde,4,4,0,63,34,69,62,25,8,73,26
Clayton Kershaw,13,9,31,31,0,192,175,70,14,205,87
Tommy Hanson,14,7,30,30,0,185,168,67,16,186,63
Takashi Saito,3,4,0,45,1,50,45,18,5,49,20
Matt Guerrier,5,4,5,71,0,83,75,30,11,59,19
Francisco Rodriguez,4,4,0,67,40,74,68,27,7,81,38
Mark Lowe,3,4,0,67,2,74,68,27,7,68,27
Matt Cain,14,9,35,35,0,214,195,78,20,182,75
Brad Ziegler,4,3,0,66,5,73,68,27,3,50,26
Jair Jurrjens,14,9,34,34,0,206,190,76,16,151,68
Josh Johnson,14,7,32,32,0,195,182,73,15,182,56
Erik Bedard,8,5,18,18,0,111,105,42,11,112,43
Rich Harden,10,6,24,24,0,141,132,53,16,162,58
CC Sabathia,18,8,36,36,0,220,208,83,19,198,59
Ryan Franklin,4,5,0,63,31,69,65,26,7,46,25
Yovani Gallardo,15,9,32,32,0,194,185,74,22,201,78
Justin Verlander,17,9,36,36,0,218,208,83,21,231,62
Ubaldo Jimenez,15,10,35,35,0,213,202,81,16,202,83
Hideki Okajima,4,2,0,62,0,68,65,26,8,59,24
Frank Francisco,3,3,0,53,26,58,55,22,7,66,19
Neftali Feliz,8,5,30,52,1,119,115,46,10,129,41
Brandon League,3,4,1,63,2,71,68,27,6,67,22
Jason Frasor,4,4,0,49,13,54,52,21,5,51,18
Wandy Rodriguez,13,10,32,32,0,194,188,75,20,184,59
LaTroy Hawkins,3,4,0,65,3,71,70,28,7,51,21
Chad Billingsley,15,9,33,33,0,199,195,78,17,195,78
C.J. Wilson,4,4,3,65,12,75,75,30,7,76,32
Justin Duchscherer,9,7,29,33,0,136,135,54,13,104,37
Cole Hamels,14,9,35,36,0,204,205,82,26,180,51
Tim Hudson,13,8,29,29,0,177,178,71,15,115,50
Brandon Webb,13,8,30,30,0,180,180,72,14,142,55
Jim Johnson,3,4,0,66,5,73,72,29,7,52,24
Manny Delcarmen,3,3,0,57,0,63,62,25,6,55,26
Javier Vazquez,15,10,36,36,0,213,215,86,26,210,53
Grant Balfour,4,4,0,62,3,68,70,28,6,78,30
Dan Wheeler,4,4,0,60,3,66,68,27,11,54,16
Shawn Kelley,4,3,0,54,0,59,60,24,8,56,13
John Danks,13,10,33,33,0,201,205,82,25,164,67
Brett Anderson,13,9,31,31,0,188,192,77,20,170,47
Jake Peavy,13,8,29,29,0,175,180,72,18,174,59
Brian Fuentes,2,4,2,59,29,66,68,27,7,61,26
Josh Beckett,16,8,33,33,0,199,205,82,22,188,46
Damaso Marte,3,3,0,47,0,52,52,21,5,54,22
Matt Garza,13,9,33,33,0,200,208,83,22,179,69
Juan Cruz,4,3,0,51,0,56,58,23,6,62,29
Jason Motte,4,3,0,58,5,64,65,26,8,69,24
J.J. Putz,3,3,0,49,4,54,55,22,4,53,23
Brandon Lyon,4,4,0,69,18,76,80,32,8,57,25
Ben Sheets,10,6,23,23,0,137,142,57,15,114,37
Jose Arredondo,4,3,0,50,0,55,58,23,6,57,23
Carlos Zambrano,14,9,32,32,0,194,202,81,17,167,84
Ryan Dempster,13,9,32,32,0,194,202,81,20,163,68
Matt Capps,4,5,0,58,22,64,68,27,8,52,15
Roy Oswalt,13,9,31,31,0,191,200,80,19,140,47
Brad Lidge,2,4,0,64,34,70,72,29,9,81,35
Kelvim Escobar,5,4,19,52,1,83,88,35,7,70,29
Koji Uehara,6,5,28,60,12,110,115,46,12,82,22
Mark Melancon,2,2,0,37,0,41,42,17,3,35,13
Ted Lilly,12,9,29,29,0,174,182,73,23,147,45
John Lackey,14,8,31,31,0,188,198,79,20,152,49
Scott Baker,14,9,32,32,0,198,208,83,25,167,47
Ricky Nolasco,14,9,33,33,0,202,212,85,25,198,48
Madison Bumgarner,6,5,22,27,0,97,102,41,11,83,29
James Shields,13,9,36,36,0,221,232,93,27,167,47
Max Scherzer,12,9,31,31,0,181,192,77,20,190,65
Alfredo Aceves,6,3,6,62,0,78,82,33,10,61,19
Phil Hughes,10,6,35,49,0,140,150,60,14,132,47
Mark Buehrle,14,10,35,35,0,216,230,92,25,128,51
Jered Weaver,14,9,34,34,0,205,220,88,25,171,61
John Smoltz,8,5,29,40,1,118,128,51,14,113,30
Hiroki Kuroda,11,9,26,26,0,161,172,69,16,113,36
Kevin Slowey,13,8,29,29,0,176,190,76,24,143,27
Brian Bruney,3,3,0,46,2,51,55,22,5,49,26
Scott Kazmir,12,8,28,28,0,170,182,73,18,156,67
David Price,12,8,28,28,0,171,185,74,20,151,60
Pedro Martinez,7,5,20,22,0,105,112,45,15,90,27
Sean White,3,3,0,61,0,67,72,29,4,32,20
Brian Matusz,11,8,25,25,0,155,170,68,18,141,47
Homer Bailey,11,9,29,29,0,175,192,77,19,147,70
Wade Davis,11,8,26,26,0,159,175,70,15,148,60
Ryan Rowland-Smith,11,8,28,29,0,165,180,72,16,104,47
Clay Buchholz,12,8,29,29,0,168,185,74,21,145,61
J.A. Happ,12,10,31,32,0,184,202,81,23,142,66
Kris Medlen,5,4,10,56,0,79,88,35,7,80,29
Joba Chamberlain,10,7,39,51,0,158,175,70,18,151,66
Gavin Floyd,13,10,32,32,0,195,218,87,25,156,61
Jonathan Sanchez,12,10,30,30,0,182,202,81,21,194,85
Derek Lowe,14,10,32,32,0,194,218,87,15,126,53
Johnny Cueto,13,10,31,31,0,189,212,85,25,164,64
Robinson Tejeda,7,6,28,59,0,118,132,53,11,119,60
Jordan Zimmermann,6,5,19,20,0,92,102,41,10,86,30
Daisuke Matsuzaka,13,8,29,29,0,166,188,75,21,156,78
Lance Cormier,3,3,1,65,0,73,82,33,7,41,26
Randy Wolf,12,9,31,31,0,192,218,87,22,152,64
Edinson Volquez,7,4,16,17,0,92,105,42,10,88,45
A.J. Burnett,14,9,32,32,0,194,220,88,23,192,81
John Lannan,10,12,32,32,0,196,222,89,21,103,63
Marc Rzepczynski,8,8,27,29,0,138,158,63,15,129,62
John Maine,11,8,29,31,0,155,175,70,17,130,67
Rick Porcello,12,9,30,30,0,180,205,82,21,110,52
Randy Wells,11,10,30,31,0,169,192,77,18,115,53
Aaron Cook,12,9,32,32,0,193,220,88,20,95,48
Ervin Santana,12,9,31,32,0,182,208,83,24,153,59
Kevin Correia,11,11,30,30,0,185,212,85,18,136,62
Brandon Morrow,8,7,31,38,0,135,155,62,17,128,66
Joel Pineiro,12,10,31,31,0,189,218,87,17,102,40
Brad Bergesen,11,8,29,29,0,174,200,80,16,97,40
Dallas Braden,10,9,29,30,0,164,188,75,16,106,49
Paul Maholm,11,10,33,33,0,199,228,91,19,128,60
Phil Coke,4,4,3,58,0,67,78,31,9,57,21
Barry Zito,12,11,32,32,0,196,225,90,21,151,80
Kenshin Kawakami,10,9,36,44,0,162,188,75,17,113,55
