mlbamID,playerName,team,league,defaultPos,G_SP,G_RP,IP,W,L,S,H,R,ER,HR,K,BB,HBP
110683,Miguel Batista,SLN,NL,RP,1,57,76,3,4,1,77,40,36,9,55,38,3
110859,Armando Benitez,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
111244,Joe Borowski,,,,0,0,25,1,2,1,26,13,12,3,18,9,1
111492,Doug Brocail,,,,0,0,27,2,2,0,27,13,12,3,21,11,1
111838,Paul Byrd,,,,0,0,62,3,4,0,68,33,31,8,36,19,2
112020,Chris Carpenter,STL,NL,SP,35,0,197,14,7,0,180,77,68,15,149,53,9
112526,Bartolo Colon,,,,0,0,66,4,5,0,69,37,31,9,46,23,2
113296,Elmer Dessens,SFN,NL,RP,0,53,52,3,2,0,49,23,21,6,31,19,3
113833,Alan Embree,,,,0,0,27,1,2,0,28,15,14,3,21,11,1
113898,Kelvim Escobar,,,,0,0,61,3,4,0,60,30,28,7,46,23,3
113915,Shawn Estes,,,,0,0,56,3,3,0,57,29,26,6,42,21,2
113961,Scott Eyre,,,,0,0,28,2,1,0,27,13,11,3,23,11,1
114342,Keith Foulke,,,,0,0,25,1,2,0,25,13,12,3,18,9,1
114354,Chad Fox,,,,0,0,25,1,2,0,26,14,13,3,20,10,1
114849,Tom Glavine,,,,0,0,60,3,4,0,62,32,30,7,45,26,2
114971,Tom Gordon,,,,0,0,25,2,2,0,26,14,13,3,20,11,1
115216,Eddie Guardado,,,,0,0,29,1,2,0,29,15,14,4,19,11,1
115399,Mike Hampton,,,RP,0,10,61,3,4,0,65,34,31,7,43,23,2
115629,LaTroy Hawkins,MIL,NL,RP,0,18,39,2,3,2,40,19,17,4,32,14,2
115817,Livan Hernandez,WAS,NL,SP,33,0,184,9,11,0,207,97,92,18,106,60,3
116034,Trevor Hoffman,,,RP,0,50,54,3,5,16,52,26,25,6,42,19,1
116414,Jason Isringhausen,,,,0,0,26,1,2,2,26,13,12,3,19,10,1
116595,Jason Johnson,,,,0,0,29,2,2,0,30,15,14,3,23,11,1
116615,Randy Johnson,,,,0,0,65,4,4,0,68,35,32,9,55,21,2
116734,Todd Jones,,,,0,0,25,1,1,2,26,14,12,3,17,10,1
117758,Jon Lieber,,,,0,0,26,1,2,0,28,13,12,3,20,9,1
117842,Esteban Loaiza,,,,0,0,35,2,2,0,36,18,17,4,25,13,1
117955,Derek Lowe,ATL,NL,SP,33,0,176,13,10,0,190,86,80,16,120,55,4
118120,Greg Maddux,,,,0,0,60,3,4,0,63,31,28,6,40,17,2
118158,Ron Mahay,LAN,NL,RP,0,41,47,2,2,0,49,23,21,6,35,17,2
118377,Pedro Martinez,,,,0,0,64,4,3,0,69,33,31,8,52,22,3
118967,Kent Mercker,,,,0,0,25,1,1,0,25,13,12,3,19,10,1
119125,Trever Miller,STL,NL,RP,0,57,47,2,2,0,43,21,20,4,39,18,2
119154,Kevin Millwood,,,SP,31,0,175,8,12,0,194,94,87,23,118,61,7
119215,Brian Moehler,,,SP,8,12,94,5,6,0,108,54,50,11,59,33,3
119403,Matt Morris,,,,0,0,60,3,4,0,64,34,30,7,46,22,2
119469,Jamie Moyer,,,SP,19,0,130,9,8,0,137,71,67,19,80,37,7
119608,Mike Mussina,,,,0,0,60,4,3,0,63,29,26,6,44,17,2
119827,Hideo Nomo,,,,0,0,25,1,1,0,26,14,13,3,18,10,1
119984,Darren Oliver,TEX,AL,RP,0,64,63,3,2,0,59,25,23,5,53,19,3
120221,Chan Ho Park,PIT,NL,RP,0,27,67,3,3,0,69,36,32,7,56,24,3
120401,Troy Percival,,,,0,0,26,1,1,5,26,14,13,4,19,11,1
120485,Andy Pettitte,,,SP,21,0,144,10,6,0,146,69,63,15,108,50,4
121096,Dennys Reyes,BOS,AL,RP,0,59,48,2,2,1,45,21,20,4,38,21,2
121099,Al Reyes,,,,0,0,25,1,2,0,25,13,12,3,19,9,1
121125,Arthur Rhodes,TEX,AL,RP,0,70,58,3,3,0,50,22,21,5,50,22,2
121215,Ricardo Rincon,,,,0,0,25,1,1,0,25,13,12,3,20,10,1
121250,Mariano Rivera,NYA,AL,RP,0,61,62,3,3,26,51,21,19,5,51,16,3
