mlbamID,playerName,team,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos,
435623,Kevin Frandsen,PHI,AL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,SS,
453895,Brendan Ryan,SEA,AL,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,138,0,0,0,0,SS,
430593,Brendan Harris,LAA,AL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3B,
467827,Gerardo Parra,ARI,AL,1,5,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,47,48,17,109,OF,
572041,A.J. Pollock,ARI,AL,1,4,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,7,14,4,25,OF,
518692,Freddie Freeman,ATL,AL,1,4,1,3,0,0,1,3,0,1,0,0,0,146,0,0,0,0,0,0,0,1B,
425567,Alex Rios,CWS,AL,1,3,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,156,156,OF,
452239,Justin Maxwell,HOU,AL,1,3,2,2,0,2,0,2,1,0,0,0,0,0,0,0,0,38,59,20,95,OF,
452234,Seth Smith,OAK,AL,1,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,57,0,13,66,OF,
425509,Jhonny Peralta,DET,AL,1,3,1,2,0,0,0,0,1,1,1,0,0,0,0,0,149,0,0,0,0,SS,
493351,Alexei Ramirez,CWS,AL,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,158,0,0,0,0,SS,
453400,Chris Johnson,ATL,AL,1,3,1,2,1,0,0,0,1,1,0,0,0,6,0,127,0,0,0,1,1,3B,
407885,Mark Ellis,LAD,AL,1,3,1,2,1,0,0,0,0,1,0,0,0,0,110,0,0,0,0,0,0,2B,
443558,Nelson Cruz,TEX,AL,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,151,151,OF,
400284,Chase Utley,PHI,AL,1,5,2,3,0,1,1,3,0,0,0,0,0,0,81,0,0,0,0,0,0,2B,
578428,Jose Iglesias,BOS,AL,1,5,1,3,0,0,0,1,0,1,0,0,0,0,0,0,24,0,0,0,0,SS,
451594,Dexter Fowler,COL,AL,1,5,1,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,131,0,131,OF,
453056,Jacoby Ellsbury,BOS,AL,1,6,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,73,0,73,OF,
408236,Adrian Gonzalez,LAD,AL,1,2,0,1,0,0,0,0,1,1,0,0,0,151,0,0,0,0,0,18,18,1B,
408045,Joe Mauer,MIN,AL,1,4,1,2,1,0,0,0,1,0,0,0,74,30,0,0,0,0,0,0,0,C,
408299,Omar Infante,DET,AL,1,4,0,2,0,0,0,1,0,0,0,0,0,0,144,6,0,0,0,0,0,2B,
407833,John Buck,NYM,AL,1,4,2,2,0,0,0,1,1,0,0,0,105,0,0,0,0,0,0,0,0,C,
430404,Jonny Gomes,BOS,AL,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,3,42,OF,
547180,Bryce Harper,WAS,AL,1,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,7,92,65,138,OF,
430585,Jason Kubel,ARI,AL,1,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,124,0,2,125,OF,
431094,Aaron Hill,ARI,AL,1,4,0,2,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,2B,
