mlbamID,newPA,newPA,PA,bisID,playerName,FG
429664,685,628,663,3269,Robinson Cano,Y
425902,682,626,663,4613,Prince Fielder,Y
400085,682,626,714,1101,Ichiro Suzuki,Y
425783,681,625,673,3174,Shin-Soo Choo,Y
431151,681,625,680,3787,David Wright,Y
408234,679,623,675,1744,Miguel Cabrera,Y
405395,679,623,682,1177,Albert Pujols,Y
456714,678,622,680,7399,Billy Butler,Y
446334,678,622,681,9368,Evan Longoria,Y
457705,678,622,709,9847,Andrew McCutchen,Y
407812,676,620,666,1873,Matt Holliday,Y
461314,674,618,669,5631,Matt Kemp,Y
493351,674,618,642,5133,Alexei Ramirez,Y
462101,674,618,669,8709,Elvis Andrus,Y
444876,673,617,610,6310,Alcides Escobar,Y
150029,670,615,659,1327,Jayson Werth,Y
430832,670,615,655,1887,Jose Bautista,Y
455976,670,615,687,5930,Nick Markakis,Y
471865,669,614,656,7287,Carlos Gonzalez,Y
453064,668,613,632,3531,Troy Tulowitzki,Y
475582,666,611,664,4220,Ryan Zimmerman,Y
452254,665,610,685,8252,Hunter Pence,Y
434670,665,610,671,8001,Hanley Ramirez,Y
460075,664,609,685,3410,Ryan Braun,Y
445988,663,608,649,3312,Martin Prado,Y
458015,663,608,669,4314,Joey Votto,Y
407893,662,607,678,1281,Mark Teixeira,Y
457706,661,606,693,9848,Austin Jackson,Y
462564,661,606,661,3442,Dan Uggla,Y
455759,658,604,654,3882,Chris Young,Y
435522,658,604,623,7539,Neil Walker,Y
408252,657,603,692,791,Brandon Phillips,Y
425834,655,601,645,5015,B.J. Upton,Y
452104,655,601,661,4720,Chase Headley,Y
408307,654,600,692,1201,Carl Crawford,Y
429667,652,598,661,2154,Ryan Howard,Y
425766,652,598,646,4556,James Loney,Y
493596,652,598,596,9015,Gordon Beckham,Y
452655,651,597,693,8347,Denard Span,Y
408236,651,597,678,1908,Adrian Gonzalez,Y
457803,650,596,621,9892,Jay Bruce,Y
477195,650,596,639,8433,Ike Davis,Y
450314,649,595,674,7435,Ben Zobrist,Y
334393,647,594,664,443,Juan Pierre,Y
476883,645,592,633,2495,Pedro Alvarez,Y
408210,644,591,680,1580,Chone Figgins,Y
488862,644,591,631,4191,Yunel Escobar,Y
134181,643,590,610,639,Adrian Beltre,Y
435622,643,590,645,6885,Ian Desmond,Y
435558,643,590,677,5928,Daric Barton,Y
452678,642,589,620,4962,Asdrubal Cabrera,Y
516770,641,588,662,4579,Starlin Castro,Y
519317,641,588,646,4949,Mike Stanton,Y
456030,641,588,682,8370,Dustin Pedroia,Y
425567,639,586,627,2090,Alex Rios,Y
452220,638,585,691,4251,Stephen Drew,Y
276055,637,584,667,319,Adam Dunn,Y
116539,635,583,673,826,Derek Jeter,Y
430897,635,583,632,4599,Nick Swisher,Y
456422,634,582,675,6387,Michael Bourn,Y
459991,634,582,633,3361,Gaby Sanchez,Y
430637,634,582,667,2234,Kelly Johnson,Y
435062,634,582,619,4229,Howie Kendrick,Y
430321,634,582,631,2140,Delmon Young,Y
467798,634,582,645,2411,Jose Tabata,Y
502143,633,581,540,6364,Danny Valencia,Y
434636,631,579,638,2918,Angel Pagan,Y
444843,631,579,659,6265,Andre Ethier,Y
450260,630,578,564,5995,Kevin Kouzmanoff,Y
425903,629,577,604,1935,Kevin Youkilis,Y
150212,628,576,614,1534,Michael Cuddyer,Y
457292,627,575,646,,Tsuyoshi Nishioka,
425664,627,575,638,1677,Shane Victorino,Y
453211,626,574,640,9328,Drew Stubbs,Y
430947,626,574,575,4082,Erick Aybar,Y
408299,625,573,568,1609,Omar Infante,Y
430945,625,573,623,6368,Adam Jones,Y
430001,625,573,636,1849,Rickie Weeks,Y
431171,625,573,617,6086,Casey McGehee,Y
276346,623,572,563,470,Brandon Inge,Y
457708,623,572,636,5222,Justin Upton,Y
116338,622,571,623,731,Torii Hunter,Y
121347,619,568,595,1274,Alex Rodriguez,Y
400083,619,568,633,1488,Andres Torres,Y
467055,619,568,604,5409,Pablo Sandoval,Y
150484,617,566,638,1326,Vernon Wells,Y
407781,617,566,620,950,Marlon Byrd,Y
448602,617,566,639,7619,Mark Reynolds,Y
136460,616,565,566,520,Alex Gonzalez,Y
451594,616,565,632,4062,Dexter Fowler,Y
430583,615,564,581,8219,Jason Bartlett,Y
408314,613,562,665,1736,Jose Reyes,Y
518792,613,562,663,4940,Jason Heyward,Y
333492,611,561,646,1213,Aubrey Huff,Y
458675,611,561,610,9893,Colby Rasmus,Y
457787,609,559,548,9219,Danny Espinosa,Y
117244,609,559,611,242,Paul Konerko,Y
460060,609,559,602,3395,Cliff Pennington,Y
407861,608,558,609,1307,Orlando Hudson,Y
460086,607,557,554,5209,Alex Gordon,Y
150324,607,557,612,243,Carlos Lee,Y
488721,606,556,508,2578,Peter Bourjos,Y
457763,606,556,597,9166,Buster Posey,Y
346874,604,554,574,454,Juan Uribe,Y
467793,604,554,553,2396,Carlos Santana,Y
457727,604,554,585,5223,Cameron Maybin,Y
489149,603,553,610,9205,Logan Morrison,Y
449107,603,553,566,5986,Mike Aviles,Y
501983,603,553,567,2830,Travis Snider,Y
431094,603,553,616,6104,Aaron Hill,Y
452252,602,552,639,8027,Adam Lind,Y
461416,601,551,575,211,Will Venable,Y
150289,601,551,587,934,Carlos Pena,Y
432928,597,548,568,3469,Luke Scott,Y
425560,596,547,638,1904,Adam LaRoche,Y
458731,596,547,611,9927,Brett Gardner,Y
434604,596,547,350,,Michael Morse,
518692,594,545,544,5361,Freddie Freeman,Y
408045,594,545,596,1857,Joe Mauer,Y
135784,594,545,610,1176,Placido Polanco,Y
475253,593,544,589,9054,Justin Smoak,Y
434158,593,544,596,4747,Curtis Granderson,Y
133380,593,544,566,1002,Aramis Ramirez,Y
110029,592,543,630,945,Bobby Abreu,Y
434658,592,543,588,3708,Rajai Davis,Y
276519,591,542,594,971,Jimmy Rollins,Y
407886,591,542,593,1260,Ryan Ludwick,Y
435559,590,541,573,8259,Kurt Suzuki,Y
407885,590,541,502,1443,Mark Ellis,Y
458582,589,540,543,8380,Reid Brignac,Y
443558,588,539,568,2434,Nelson Cruz,Y
430611,588,539,592,1945,Corey Hart,Y
424726,586,538,602,1717,Jason Bay,Y
453056,586,538,608,4727,Jacoby Ellsbury,Y
430203,585,537,617,1825,David DeJesus,Y
434661,585,537,490,3190,Nate McLouth,Y
435263,583,535,575,4810,Brian McCann,Y
444135,582,534,589,3811,Ryan Theriot,Y
446308,581,533,554,4298,Matt Wieters,Y
113028,581,533,575,185,Johnny Damon,Y
285078,581,533,596,1875,Josh Hamilton,Y
400121,580,532,605,393,Victor Martinez,Y
407489,580,532,558,1617,Lyle Overbay,Y
425877,580,532,540,7007,Yadier Molina,Y
425545,578,530,565,2103,Josh Willingham,Y
