mlbamID,PA,playerid,Name
110029,518,945,Bobby Abreu
111867,335,1412,Miguel Cairo
113028,559,185,Johnny Damon
115223,390,778,Vladimir Guerrero
115732,500,432,Todd Helton
116338,607,731,Torii Hunter
116380,358,607,Raul Ibanez
116539,638,826,Derek Jeter
116662,331,96,Andruw Jones
116706,507,97,Chipper Jones
117244,616,242,Paul Konerko
117601,520,525,Derrek Lee
120074,575,745,David Ortiz
120691,0,841,Jorge Posada
121347,558,1274,Alex Rodriguez
121409,445,970,Scott Rolen
123173,,,Miguel Tejada
123272,352,409,Jim Thome
133380,580,1002,Aramis Ramirez
134181,600,639,Adrian Beltre
135784,531,1176,Placido Polanco
136460,534,520,Alex Gonzalez
136860,565,589,Carlos Beltran
150029,668,1327,Jayson Werth
150040,310,25,Jose Molina
150093,538,847,Alfonso Soriano
150148,414,45,Rod Barajas
150212,583,1534,Michael Cuddyer
150229,480,746,A.J. Pierzynski
150275,305,1135,Yorvit Torrealba
150289,593,934,Carlos Pena
150324,637,243,Carlos Lee
150421,409,918,Ramon Hernandez
150456,310,19,Adam Kennedy
150484,519,1326,Vernon Wells
204020,589,548,Lance Berkman
217100,370,1066,Willie Bloomquist
276055,590,319,Adam Dunn
276346,430,470,Brandon Inge
276519,609,971,Jimmy Rollins
276545,642,1286,Michael Young
279577,509,88,Rafael Furcal
279827,300,1824,Humberto Quintero
285078,585,1875,Josh Hamilton
333492,550,1213,Aubrey Huff
334393,450,443,Juan Pierre
340192,575,1555,Marco Scutaro
346795,315,768,Endy Chavez
346857,310,1429,Nick Punto
346874,525,454,Juan Uribe
400018,421,1638,Miguel Olivo
400083,565,1488,Andres Torres
400085,700,1101,Ichiro Suzuki
400091,220,1564,Jack Cust
400098,475,1573,Travis Hafner
400121,0,393,Victor Martinez
400134,385,1305,Eric Hinske
400140,438,1861,Wilson Betemit
400284,591,1679,Chase Utley
405395,672,1177,Albert Pujols
406878,385,166,Brian Roberts
407487,440,843,Juan Rivera
407489,362,1617,Lyle Overbay
407781,593,950,Marlon Byrd
407812,640,1873,Matt Holliday
407833,527,2041,John Buck
407861,516,1307,Orlando Hudson
407862,351,1702,Reed Johnson
407885,523,1443,Mark Ellis
407886,465,1260,Ryan Ludwick
407893,682,1281,Mark Teixeira
408045,573,1857,Joe Mauer
408047,482,1737,Justin Morneau
408108,490,1624,Freddy Sanchez
408210,350,1580,Chone Figgins
408234,679,1744,Miguel Cabrera
408236,684,1908,Adrian Gonzalez
408252,707,791,Brandon Phillips
408299,571,1609,Omar Infante
408307,600,1201,Carl Crawford
408314,625,1736,Jose Reyes
421064,450,1491,Ty Wigginton
421124,451,1417,Ramon Santiago
424325,190,1551,David Ross
424726,549,1717,Jason Bay
424825,588,1572,Coco Crisp
425206,577,1591,Jamey Carroll
425491,465,2113,Ryan Doumit
425496,475,1760,Cody Ross
425509,580,1738,Jhonny Peralta
425545,572,2103,Josh Willingham
425549,540,1830,Clint Barmes
425560,500,1904,Adam LaRoche
425567,562,2090,Alex Rios
425664,634,1677,Shane Victorino
425686,475,1659,Hideki Matsui
425766,642,4556,James Loney
425772,203,3448,Jeff Mathis
425773,540,1930,Casey Kotchman
425783,623,3174,Shin-Soo Choo
425796,623,4792,Jeff Francoeur
425834,661,5015,B.J. Upton
425877,556,7007,Yadier Molina
425902,687,4613,Prince Fielder
425903,563,1935,Kevin Youkilis
429664,687,3269,Robinson Cano
429665,540,2151,Edwin Encarnacion
429666,574,3797,J.J. Hardy
429667,465,2154,Ryan Howard
429711,542,3255,Franklin Gutierrez
429713,468,2197,Grady Sizemore
429841,363,1771,Matt Diaz
430001,607,1849,Rickie Weeks
430203,615,1825,David DeJesus
430321,571,2140,Delmon Young
430583,550,8219,Jason Bartlett
430585,546,2161,Jason Kubel
430605,483,2218,Ryan Raburn
430611,617,1945,Corey Hart
430637,580,2234,Kelly Johnson
430652,390,2225,Jason Bourgeois
430681,,,Dan Johnson
430832,674,1887,Jose Bautista
430895,451,2437,Maicer Izturis
