mlbamID,PA,Name
456422,688,Michael Bourn
429664,666,Robinson Cano
456714,671,Billy Butler
457706,671,Austin Jackson
435079,677,Ian Kinsler
545361,669,Mike Trout
408234,673,Miguel Cabrera
462101,662,Elvis Andrus
408236,662,Adrian Gonzalez
460075,649,Ryan Braun
461314,649,Matt Kemp
457705,659,Andrew McCutchen
405395,655,Albert Pujols
554429,649,Dustin Ackley
276519,637,Jimmy Rollins
455976,638,Nick Markakis
445988,627,Martin Prado
514888,613,Jose Altuve
434158,649,Curtis Granderson
457803,637,Jay Bruce
434670,633,Hanley Ramirez
452254,623,Hunter Pence
435622,614,Ian Desmond
458015,672,Joey Votto
460086,647,Alex Gordon
431151,642,David Wright
518692,626,Freddie Freeman
452678,621,Asdrubal Cabrera
408252,612,Brandon Phillips
430945,607,Adam Jones
446359,606,Zack Cozart
493351,606,Alexei Ramirez
516770,601,Starlin Castro
543333,612,Eric Hosmer
408314,610,Jose Reyes
519058,600,Mike Moustakas
425902,660,Prince Fielder
457708,624,Justin Upton
425664,615,Shane Victorino
547180,613,Bryce Harper
435522,611,Neil Walker
457477,608,Alejandro de Aza
572122,603,Kyle Seager
502517,595,Dan Murphy
519184,593,Ben Revere
450314,641,Ben Zobrist
425783,627,Shin-Soo Choo
425834,612,B.J. Upton
488726,602,Michael Brantley
466320,596,Melky Cabrera
276545,592,Michael Young
518792,612,Jason Heyward
543401,603,Jason Kipnis
471865,598,Carlos Gonzalez
519203,596,Anthony Rizzo
467055,595,Pablo Sandoval
452104,608,Chase Headley
476883,600,Pedro Alvarez
457775,600,Desmond Jennings
334393,598,Juan Pierre
340192,597,Marco Scutaro
285078,596,Josh Hamilton
116338,595,Torii Hunter
452655,594,Denard Span
543434,582,Brett Lawrie
444876,580,Alcides Escobar
400085,571,Ichiro Suzuki
456030,599,Dustin Pedroia
425560,596,Adam LaRoche
431094,581,Aaron Hill
453056,579,Jacoby Ellsbury
430947,577,Erick Aybar
425567,569,Alexis Rios
451594,607,Dexter Fowler
446334,606,Evan Longoria
430001,601,Rickie Weeks
407812,600,Matt Holliday
117244,600,Paul Konerko
476704,592,Jed Lowrie
444843,590,Andre Ethier
133380,580,Aramis Ramirez
150212,580,Michael Cuddyer
514913,579,Ruben Tejada
592518,574,Manny Machado
429666,571,J.J. Hardy
134181,569,Adrian Beltre
444432,568,Mark Trumbo
467793,619,Carlos Santana
407893,604,Mark Teixeira
502671,589,Paul Goldschmidt
457763,588,Buster Posey
425509,575,Jhonny Peralta
448801,566,Chris Davis
524968,566,Jesus Montero
408299,564,Omar Infante
435062,562,Howie Kendrick
430321,555,Delmon Young
462564,596,Dan Uggla
408045,593,Joe Mauer
429665,588,Edwin Encarnacion
488862,578,Yunel Escobar
502126,577,Domonic Brown
446308,575,Matt Wieters
493596,574,Gordon Beckham
430611,572,Corey Hart
501800,566,Allen Craig
434636,566,Angel Pagan
434778,561,Kendry Morales
430637,579,Kelly Johnson
475174,570,Yonder Alonso
493316,566,Yoenis Cespedes
502210,558,Josh Reddick
430832,612,Jose Bautista
448602,589,Mark Reynolds
458731,586,Brett Gardner
489149,580,Logan Morrison
136860,575,Carlos Beltran
477195,574,Ike Davis
519317,571,Giancarlo Stanton
493114,569,Norichika Aoki
475582,566,Ryan Zimmerman
424825,563,Coco Crisp
445055,563,Jon Jay
453943,555,Todd Frazier
519025,541,Will Middlebrooks
592710,540,Josh Rutledge
276055,592,Adam Dunn
430203,568,David DeJesus
446263,568,Lucas Duda
458675,558,Colby Rasmus
457727,556,Cameron Maybin
467798,554,Jose Tabata
474832,573,Brandon Belt
457787,551,Danny Espinosa
150093,541,Alfonso Soriano
592743,534,Andrelton Simmons
425545,575,Josh Willingham
475253,562,Justin Smoak
453064,552,Troy Tulowitzki
466988,550,Emilio Bonifacio
460060,547,Cliff Pennington
150029,562,Jayson Werth
429667,551,Ryan Howard
430585,543,Jason Kubel
116539,535,Derek Jeter
453400,528,Chris Johnson
446381,521,Darwin Barney
459964,553,Matt Joyce
501896,536,David Freese
449107,513,Mike Aviles
120074,551,David Ortiz
518626,529,Josh Donaldson
136460,529,Alex Gonzalez
425877,528,Yadier Molina
150324,524,Carlos Lee
502110,521,J. D. Martinez
460055,517,John Mayberry
471083,535,Miguel Montero
453211,525,Drew Stubbs
443558,517,Nelson Cruz
430897,541,Nick Swisher
408047,525,Justin Morneau
407886,521,Ryan Ludwick
435625,511,Nate Schierholtz
594809,514,Adam Eaton
501983,508,Travis Snider
434540,508,Garrett Jones
488721,506,Peter Bourjos
