Name,Team,GDP
Miguel Tejada,Astros,29
Yadier Molina,Cardinals,27
Evan Longoria,Rays,27
Hunter Pence,Astros,25
Jose Lopez,Mariners,25
Kevin Kouzmanoff,Padres,25
Albert Pujols,Cardinals,23
Adrian Gonzalez,Padres,23
Miguel Cabrera,Tigers,22
Robinson Cano,Yankees,22
Ryan Zimmerman,Nationals,22
Orlando Cabrera,- - -,22
Michael Cuddyer,Twins,22
Carlos Lee,Astros,21
Yunel Escobar,Braves,21
Brandon Phillips,Reds,21
Alex Rios,- - -,21
Billy Butler,Royals,20
Troy Tulowitzki,Rockies,20
Jhonny Peralta,Indians,20
Magglio Ordonez,Tigers,19
Dustin Pedroia,Red Sox,19
Juan Rivera,Angels,19
Andre Ethier,Dodgers,19
Chase Headley,Padres,19
Derek Jeter,Yankees,18
A.J. Pierzynski,White Sox,18
Brad Hawpe,Rockies,18
Cody Ross,Marlins,18
Vernon Wells,Blue Jays,18
Russell Martin,Dodgers,18
Martin Prado,Braves,17
Victor Martinez,- - -,17
Aaron Hill,Blue Jays,17
Brian McCann,Braves,17
Edgar Renteria,Giants,17
Yuniesky Betancourt,- - -,17
Michael Young,Rangers,16
David Wright,Mets,16
Orlando Hudson,Dodgers,16
James Loney,Dodgers,16
Raul Ibanez,Phillies,16
Andy LaRoche,Pirates,16
Todd Helton,Rockies,15
Kendry Morales,Angels,15
Adam Lind,Blue Jays,15
Luis Castillo,Mets,15
Alberto Callaspo,Royals,15
Bobby Abreu,Angels,15
Nick Johnson,- - -,15
Jorge Cantu,Marlins,15
Placido Polanco,Tigers,15
Alexei Ramirez,White Sox,15
Paul Konerko,White Sox,15
Melky Cabrera,Yankees,15
Kosuke Fukudome,Cubs,15
Jermaine Dye,White Sox,15
Aubrey Huff,- - -,15
Prince Fielder,Brewers,14
Matt Kemp,Dodgers,14
Ryan Sweeney,Athletics,14
Franklin Gutierrez,Mariners,14
Kurt Suzuki,Athletics,14
Bengie Molina,Giants,14
Chipper Jones,Braves,14
Joe Mauer,Twins,13
Matt Holliday,- - -,13
Asdrubal Cabrera,Indians,13
Jacoby Ellsbury,Red Sox,13
Jason Kubel,Twins,13
Mark Teixeira,Yankees,13
Alex Rodriguez,Yankees,13
Ryan Theriot,Cubs,13
Jeff Francoeur,- - -,13
Adam Jones,Orioles,13
Lance Berkman,Astros,13
Daniel Murphy,Mets,13
Nick Swisher,Yankees,13
Derrek Lee,Cubs,12
Nick Markakis,Orioles,12
Marco Scutaro,Blue Jays,12
Casey Blake,Dodgers,12
Justin Morneau,Twins,12
Mark Teahen,Royals,12
Pedro Feliz,Phillies,12
Aaron Rowand,Giants,12
Mike Cameron,Brewers,12
Brandon Inge,Tigers,12
Marlon Byrd,Rangers,11
Ryan Howard,Phillies,11
Adam LaRoche,- - -,11
Rafael Furcal,Dodgers,11
Garret Anderson,Braves,11
Jayson Werth,Phillies,11
Mark DeRosa,- - -,11
Jason Kendall,Brewers,11
Pablo Sandoval,Giants,10
Justin Upton,Diamondbacks,10
David DeJesus,Royals,10
Dan Uggla,Marlins,10
Hanley Ramirez,Marlins,9
Erick Aybar,Angels,9
Nyjer Morgan,- - -,9
Kevin Youkilis,Red Sox,9
Shin-Soo Choo,Indians,9
Torii Hunter,Angels,9
Cristian Guzman,Nationals,9
Johnny Damon,Yankees,9
Jason Bay,Red Sox,9
Nelson Cruz,Rangers,9
Ian Kinsler,Rangers,9
David Ortiz,Red Sox,9
Joey Votto,Reds,8
Scott Podsednik,White Sox,8
Chone Figgins,Angels,8
Adam Kennedy,Athletics,8
Adam Dunn,Nationals,8
David Eckstein,Padres,8
Mark Reynolds,Diamondbacks,8
Nate McLouth,- - -,8
Ryan Braun,Brewers,7
Denard Span,Twins,7
Carl Crawford,Rays,7
Ben Zobrist,Rays,7
Brian Roberts,Orioles,7
Jimmy Rollins,Phillies,7
Alfonso Soriano,Cubs,7
B.J. Upton,Rays,7
Jack Cust,Athletics,7
J.D. Drew,Red Sox,6
Ryan Ludwick,Cardinals,6
Randy Winn,Giants,6
Russell Branyan,Mariners,6
Clint Barmes,Rockies,6
Jason Bartlett,Rays,5
Felipe Lopez,- - -,5
Shane Victorino,Phillies,5
Chase Utley,Phillies,5
Stephen Drew,Diamondbacks,5
Emilio Bonifacio,Marlins,5
Colby Rasmus,Cardinals,5
Carlos Pena,Rays,5
Scott Rolen,- - -,4
Skip Schumaker,Cardinals,4
Hideki Matsui,Yankees,4
Elvis Andrus,Rangers,4
Dexter Fowler,Rockies,4
Luke Scott,Orioles,4
Kaz Matsui,Astros,4
Grady Sizemore,Indians,4
Chris Coghlan,Marlins,3
Ichiro Suzuki,Mariners,1
Michael Bourn,Astros,1
Curtis Granderson,Tigers,1
