mlbamID,playerName,Tm,Pos,Age,PA
400085,Ichiro Suzuki,SEA,OF,36,701
429713,Grady Sizemore,CLE,OF,27,697
406878,Brian Roberts,BAL,2B,32,689
407812,Matt Holliday,SLN,OF,30,685
136722,Carlos Guillen,DET,OF,34,679
110029,Bobby Abreu,LAA,OF,36,678
456030,Dustin Pedroia,BOS,2B,26,676
408210,Chone Figgins,SEA,3B,32,671
425664,Shane Victorino,PHI,OF,29,670
430605,Ryan Raburn,DET,OF,29,669
457705,Andrew McCutchen,PIT,OF,23,668
276519,Jimmy Rollins,PHI,SS,31,666
276545,Michael Young,TEX,3B,33,666
452655,Denard Span,MIN,OF,26,665
458675,Colby Rasmus,SLN,OF,23,664
408307,Carl Crawford,TBA,OF,28,661
455976,Nick Markakis,BAL,OF,26,659
117601,Derrek Lee,CHN,1B,34,656
456714,Billy Butler,KCA,1B,24,656
430585,Jason Kubel,MIN,,28,655
453064,Troy Tulowitzki,COL,SS,25,655
285078,Josh Hamilton,TEX,OF,29,654
452678,Asdrubal Cabrera,CLE,SS,24,654
456422,Michael Bourn,HOU,OF,27,654
405395,Albert Pujols,SLN,1B,30,652
116539,Derek Jeter,NYA,SS,36,651
460075,Ryan Braun,MIL,OF,26,651
434670,Hanley Ramirez,FLO,SS,26,650
115223,Vladimir Guerrero,TEX,,34,649
276055,Adam Dunn,WAS,1B,30,646
444843,Andre Ethier,LAN,OF,28,645
408234,Miguel Cabrera,DET,1B,27,644
434661,Nate McLouth,ATL,OF,28,643
435079,Ian Kinsler,TEX,2B,28,643
460086,Alex Gordon,KCA,3B,26,642
407893,Mark Teixeira,NYA,1B,30,641
430203,David DeJesus,KCA,OF,30,640
456655,Ian Stewart,COL,3B,25,640
150212,Michael Cuddyer,MIN,OF,31,639
425902,Prince Fielder,MIL,1B,26,639
121347,Alex Rodriguez,NYA,3B,34,638
204020,Lance Berkman,HOU,1B,34,638
408314,Jose Reyes,NYN,SS,27,638
446334,Evan Longoria,TBA,3B,24,638
133380,Aramis Ramirez,CHN,3B,32,637
136660,Mark DeRosa,SFN,3B,35,637
400284,Chase Utley,PHI,2B,31,637
150029,Jayson Werth,PHI,OF,31,636
425834,B.J. Upton,TBA,OF,25,636
434567,Geovany Soto,CHN,C,27,636
457708,Justin Upton,ARI,OF,22,636
408236,Adrian Gonzalez,SDN,1B,28,635
452252,Adam Lind,TOR,,26,635
488862,Yunel Escobar,ATL,SS,27,635
120903,Manny Ramirez,LAN,OF,38,634
425547,Brad Hawpe,COL,OF,31,633
429667,Ryan Howard,PHI,1B,30,633
443558,Nelson Cruz,TEX,OF,29,633
452668,Elijah Dukes,WAS,OF,26,633
457803,Jay Bruce,CIN,OF,23,632
458015,Joey Votto,CIN,1B,26,631
430947,Erick Aybar,LAA,SS,26,630
425783,Shin-Soo Choo,CLE,OF,27,629
455759,Chris Young,ARI,OF,26,629
407886,Ryan Ludwick,SLN,OF,31,627
408047,Justin Morneau,MIN,1B,29,627
116338,Torii Hunter,LAA,OF,34,625
150324,Carlos Lee,HOU,OF,34,623
435041,Carlos Quentin,CHA,OF,27,623
448602,Mark Reynolds,ARI,3B,26,622
460004,Clete Thomas,DET,OF,26,621
462564,Dan Uggla,FLO,2B,30,621
431145,Russell Martin,LAN,C,27,620
431151,David Wright,NYN,3B,27,620
116706,Chipper Jones,ATL,3B,38,619
425545,Josh Willingham,WAS,OF,31,618
450314,Ben Zobrist,TBA,2B,29,618
493596,Gordon Beckham,CHA,3B,23,618
461314,Matt Kemp,LAN,OF,25,617
279577,Rafael Furcal,LAN,SS,32,616
425903,Kevin Youkilis,BOS,1B,31,611
435062,Howie Kendrick,LAA,2B,26,611
475582,Ryan Zimmerman,WAS,3B,25,609
430637,Kelly Johnson,ARI,2B,28,608
150289,Carlos Pena,TBA,1B,32,607
429666,J.J. Hardy,MIN,SS,27,606
430897,Nick Swisher,NYA,OF,29,606
434778,Kendry Morales,LAA,1B,27,606
115732,Todd Helton,COL,1B,36,605
276376,Nick Johnson,NYA,1B,31,605
425560,Adam LaRoche,ARI,1B,30,601
425766,James Loney,LAN,1B,26,600
430948,Alberto Callaspo,KCA,2B,27,598
429664,Robinson Cano,NYA,2B,27,596
400121,Victor Martinez,BOS,C,31,595
430832,Jose Bautista,TOR,OF,29,595
431094,Aaron Hill,TOR,2B,28,595
447761,Brandon Jones,ATL,OF,26,595
453056,Jacoby Ellsbury,BOS,OF,26,595
467055,Pablo Sandoval,SFN,3B,23,594
232694,Casey Blake,LAN,3B,36,593
408045,Joe Mauer,MIN,C,27,593
435401,Skip Schumaker,SLN,2B,30,593
471865,Carlos Gonzalez,COL,OF,24,593
334393,Juan Pierre,CHA,OF,32,592
458085,Christopher Coghlan,FLO,OF,25,592
150396,Milton Bradley,SEA,OF,32,591
150484,Vernon Wells,TOR,OF,31,591
407781,Marlon Byrd,CHN,OF,32,591
120044,Magglio Ordonez,DET,OF,36,590
400023,Aaron Rowand,SFN,OF,32,589
493120,Kosuke Fukudome,CHN,OF,33,589
452254,Hunter Pence,HOU,OF,27,588
501896,David Freese,SLN,3B,27,584
433597,Mark Teahen,CHA,3B,28,581
400091,Jack Cust,OAK,,31,580
425496,Cody Ross,FLO,OF,29,578
430917,Mike Fontenot,CHN,2B,30,578
430611,Corey Hart,MIL,OF,28,577
452104,Chase Headley,SDN,OF,26,577
120074,David Ortiz,BOS,,34,576
424825,Coco Crisp,OAK,OF,30,576
434158,Curtis Granderson,NYA,OF,29,575
150449,Rick Ankiel,KCA,OF,30,574
424726,Jason Bay,NYN,OF,31,574
150217,Cristian Guzman,WAS,SS,32,573
429841,Matt Diaz,ATL,OF,32,573
445988,Martin Prado,ATL,2B,26,573
453181,Matt LaPorta,CLE,OF,25,573
435263,Brian McCann,ATL,C,26,571
135784,Placido Polanco,PHI,2B,34,570
451188,Andy LaRoche,PIT,3B,26,570
461416,Will Venable,SDN,OF,27,570
465784,Everth Cabrera,SDN,SS,23,570
430593,Brendan Harris,MIN,SS,29,569
430946,Jose Lopez,SEA,2B,26,569
430001,Rickie Weeks,MIL,2B,27,568
448801,Chris Davis,TEX,1B,24,568
430945,Adam Jones,BAL,OF,24,566
453211,Drew Stubbs,CIN,OF,25,564
425567,Alexis Rios,CHA,OF,29,561
117244,Paul Konerko,CHA,1B,34,558
116380,Raul Ibanez,PHI,OF,38,557
425686,Hideki Matsui,LAA,,36,557
435625,Nate Schierholtz,SFN,OF,26,557
455088,Blake Dewitt,LAN,3B,24,554
466320,Melky Cabrera,ATL,OF,25,553
501983,Travis Snider,TOR,OF,22,553
400098,Travis Hafner,CLE,,33,551
425509,Jhonny Peralta,CLE,3B,28,549
457727,Cameron Maybin,FLO,OF,23,546
460060,Cliff Pennington,OAK,SS,26,546
111851,Orlando Cabrera,CIN,SS,35,545
408252,Brandon Phillips,CIN,2B,29,545
452220,Stephen Drew,ARI,SS,27,543
285131,Cesar Izturis,BAL,SS,30,542
446308,Matt Wieters,BAL,C,24,542
459943,Jeff Clement,PIT,1B,26,540
111904,Mike Cameron,BOS,OF,37,538
346857,Nick Punto,MIN,2B,32,538
429665,Edwin Encarnacion,TOR,3B,27,538
455104,Chris Iannetta,COL,C,27,537
435063,Mike Napoli,LAA,C,28,536
136770,J.D. Drew,BOS,OF,34,533
425877,Yadier Molina,SLN,C,27,533
488726,Michael Brantley,CLE,OF,23,531
502003,Scott Sizemore,DET,2B,25,531
493127,Akinori Iwamura,PIT,2B,31,526
408305,Jorge Cantu,FLO,1B,28,524
450260,Kevin Kouzmanoff,OAK,3B,28,524
448676,Ryan Spilborghs,COL,OF,30,523
435220,Ryan Sweeney,OAK,OF,25,520
459991,Gaby Sanchez,FLO,1B,26,520
408108,Freddy Sanchez,SFN,2B,32,519
150421,Ramon Hernandez,CIN,C,34,518
431171,Casey McGehee,MIL,3B,27,515
435558,Daric Barton,OAK,1B,24,512
430668,Scott Hairston,SDN,OF,30,509
121409,Scott Rolen,CIN,3B,35,508
407487,Juan Rivera,LAA,OF,31,508
453525,Justin Towles,HOU,C,26,508
124748,Gregg Zaun,MIL,C,39,507
430565,Kazuo Matsui,HOU,2B,34,504
432928,Luke Scott,BAL,,32,504
434633,John Baker,FLO,C,29,503
115135,Ken Griffey,SEA,,40,502
123173,Miguel Tejada,BAL,SS,34,502
340192,Marco Scutaro,BOS,SS,34,502
434658,Rajai Davis,OAK,OF,29,501
425491,Ryan Doumit,PIT,C,29,500
136267,Troy Glaus,ATL,3B,33,497
433582,Conor Jackson,ARI,OF,28,497
134181,Adrian Beltre,BOS,3B,31,496
112736,Craig Counsell,MIL,2B,39,495
150268,Pedro Feliz,HOU,3B,35,494
276346,Brandon Inge,DET,3B,33,494
460099,Nolan Reimold,BAL,OF,26,494
136860,Carlos Beltran,NYN,OF,33,493
444135,Ryan Theriot,CHN,SS,30,492
488811,Aaron Cunningham,SDN,OF,24,492
430583,Jason Bartlett,TBA,SS,30,491
457420,Brandon Wood,LAA,3B,25,489
333492,Aubrey Huff,SFN,,33,487
472528,Luis Valbuena,CLE,2B,24,487
408036,Josh Bard,SEA,C,32,483
435559,Kurt Suzuki,OAK,C,26,483
435622,Ian Desmond,WAS,SS,24,481
451186,Lastings Milledge,PIT,OF,25,480
429711,Franklin Gutierrez,SEA,OF,27,477
453895,Brendan Ryan,SLN,SS,28,477
460579,Nyjer Morgan,WAS,OF,29,474
116662,Andruw Jones,CHA,OF,33,472
407885,Mark Ellis,OAK,2B,33,472
120691,Jorge Posada,NYA,C,38,468
460026,Nick Hundley,SDN,C,26,468
425796,Jeff Francoeur,NYN,OF,26,461
434563,Carlos Ruiz,PHI,C,31,461
453539,Sam Fuld,CHN,OF,28,461
325392,Scott Podsednik,KCA,OF,34,458
112116,Luis Castillo,NYN,2B,34,455
493351,Alexei Ramirez,CHA,SS,28,454
150100,Pat Burrell,TBA,,33,453
123272,Jim Thome,MIN,,39,452
115229,Jose Guillen,KCA,OF,34,448
460576,Carlos Gomez,MIL,OF,24,447
459964,Matthew Joyce,TBA,OF,25,444
121074,Edgar Renteria,SFN,SS,33,439
425773,Casey Kotchman,SEA,1B,27,439
136460,Alex Gonzalez,TOR,SS,33,438
446373,Tommy Manzella,HOU,SS,24,438
447736,Chris Dickerson,CIN,OF,28,438
116974,Jason Kendall,KCA,C,36,437
150229,A.J. Pierzynski,CHA,C,33,436
407489,Lyle Overbay,TOR,1B,33,431
121358,Ivan Rodriguez,WAS,C,38,427
471083,Miguel Montero,ARI,C,26,423
276361,Adam Everett,DET,SS,33,421
275930,David Eckstein,SDN,2B,35,416
333292,Jack Wilson,SEA,SS,32,415
435358,Yuniesky Betancourt,KCA,SS,28,415
431159,Kelly Shoppach,TBA,C,30,411
430956,Michael Aubrey,BAL,1B,28,408
457454,Jarrod Saltalamacchia,TEX,C,25,402
458731,Brett Gardner,NYA,OF,26,398
407833,John Buck,TOR,C,29,397
453974,Louis Marson,CLE,C,24,394
430895,Maicer Izturis,LAA,2B,29,391
408042,Gerald Laird,DET,C,30,386
474865,Julio Borbon,TEX,OF,24,386
502517,Daniel Murphy,NYN,1B,25,386
444844,Jake Fox,OAK,3B,27,381
425549,Clint Barmes,COL,2B,31,374
123107,Fernando Tatis,NYN,1B,35,372
433898,Jeff Keppinger,HOU,3B,30,366
457763,Buster Posey,SFN,C,23,354
400134,Eric Hinske,ATL,OF,32,346
434939,Ryan Garko,SEA,1B,29,343
452234,Seth Smith,COL,OF,27,335
435408,Omir Santos,NYN,C,29,329
458913,Eric Young,COL,2B,25,327
435181,Jeremy Hermida,BOS,OF,26,321
407483,Willie Harris,WAS,OF,32,319
425508,Ryan Church,PIT,OF,31,317
467827,Gerardo Parra,ARI,OF,23,312
452035,Kyle Blanks,SDN,OF,23,308
448242,Tony Gwynn,SDN,OF,27,307
435222,Josh Fields,KCA,3B,27,306
117276,Mark Kotsay,CHA,1B,34,298
425867,Khalil Greene,TEX,SS,30,292
457824,Adam Heether,MIL,3B,28,287
421064,Ty Wigginton,BAL,1B,32,286
460003,Taylor Teagarden,TEX,C,26,286
430321,Delmon Young,MIN,OF,24,283
133160,Randy Winn,NYA,OF,36,276
477165,Brett Wallace,TOR,3B,23,269
150398,Geoff Blum,HOU,3B,37,268
455687,Jai Miller,FLO,OF,25,266
457859,Randy Ruiz,TOR,,32,265
430632,Willy Aybar,TBA,1B,27,264
518792,Jason Heyward,ATL,OF,20,264
425853,Bobby Crosby,PIT,SS,30,256
445615,Max Ramirez,TEX,C,25,256
425900,Dioner Navarro,TBA,C,26,251
462101,Elvis Andrus,TEX,SS,21,251
434636,Angel Pagan,NYN,OF,28,248
452221,Eric Patterson,OAK,OF,27,247
123660,Jason Varitek,BOS,C,38,243
455167,Shelley Duncan,CLE,OF,30,242
134260,Bengie Molina,SFN,C,35,241
346859,Jason Michaels,HOU,OF,34,241
430965,Chris Snyder,ARI,C,29,239
428642,Luis Montanez,BAL,OF,28,235
425548,Garrett Atkins,BAL,3B,30,234
