old,new,Name,Team,Pos
1,97,Mike Edwards,FA,3B
9,1799,Jamie Moyer,Phi,SP
13,1834,Kenny Rogers,FA,SP
17,1975,Tom Glavine,FA,SP
23,2077,John Smoltz,FA,SP
26,2113,Gary Sheffield,FA,OF
27,2122,Tom Gordon,FA,RP
30,2148,Ken Griffey Jr.,Sea,DH
31,2149,Omar Vizquel,CWS,SS
36,2234,Mike Stanton,FA,RP
39,2257,Rudy Seanez,FA,RP
50,2419,Luis Gonzalez,FA,OF
58,2523,Ivan Rodriguez,Was,C
62,2560,David Weathers,FA,RP
65,2578,Arthur Rhodes,Cin,RP
68,2604,Jim Thome,Min,DH
73,2657,Miguel Batista,Was,RP
77,2670,Russ Springer,FA,RP
79,2690,Matt Stairs,SD,OF
82,2717,Pedro Martinez,FA,SP
87,2748,Tim Wakefield,Bos,SP
96,2786,Doug Brocail,FA,RP
97,2790,Jose Valentin,FA,2B
99,2800,Alan Embree,FA,RP
102,2807,Javy Lopez,FA,C
104,2817,Trevor Hoffman,Mil,RP
105,2836,Mike Hampton,FA,SP
106,2867,Woody Williams,FA,SP
108,2893,Eddie Guardado,Was,RP
110,2904,Aaron Sele,FA,RP
117,2933,Chris Gomez,FA,3B
119,2937,Brad Ausmus,LAD,C
120,2940,Brian Shouse,Bos,RP
121,2945,Julian Tavarez,FA,RP
123,2960,Salomon Torres,FA,RP
126,2974,Manny Ramirez,LAD,OF
127,2993,Jim Edmonds,Mil,OF
133,3006,Chipper Jones,Atl,3B
134,3007,Hector Carrasco,FA,RP
138,3020,Carlos Delgado,FA,1B
143,3029,Chan Ho Park,FA,SP
153,3071,Jeff Cirillo,FA,3B
154,3075,Jon Lieber,FA,RP
159,3106,Joey Eischen,FA,RP
161,3115,Alex Rodriguez,NYY,3B
162,3129,Garret Anderson,FA,OF
163,3130,Armando Benitez,FA,RP
169,3143,Todd Williams,FA,RP
170,3147,Mike Myers,FA,RP
171,3150,Tomas Perez,FA,2B
172,3155,Troy Percival, FA,RP
174,3163,Ray Durham,FA,2B
175,3169,Al Reyes,FA,RP
176,3171,Andy Pettitte,NYY,SP
177,3176,LaTroy Hawkins,Mil,RP
179,3180,Jason Schmidt,FA,SP
