statsID,Name,BDB,cbsID,espnID
3001,Julio Franco,francju01,127073,2
3340,Roger Clemens,clemero02,7520,4
3918,Barry Bonds,bondsba01,7447,7
3932,Jamie Moyer,moyerja01,7909,9
3933,Greg Maddux,maddugr01,7837,10
3974,Kenny Rogers,rogerke01,8029,13
4057,David Wells,wellsda01,8176,15
4122,Tom Glavine,glavito02,7641,17
4143,Jose Mesa,mesajo01,7884,19
4170,Pat Borders,bordepa01,,
4217,Craig Biggio,biggicr01,,
4232,John Smoltz,smoltjo01,8074,23
4267,Curt Schilling,schilcu01,8052,25
4268,Gary Sheffield,sheffga01,8061,26
4279,Tom Gordon,gordoto01,7652,27
4288,Randy Johnson,johnsra05,7762,28
4294,Sandy Alomar,alomasa02,7379,
4305,Ken Griffey Jr.,griffke02,7664,30
4306,Omar Vizquel,vizquom01,8159,31
4307,Steve Finley,finlest01,,32
4344,Sammy Sosa,sosasa01,8242,33
4364,Wilson Alvarez,alvarwi01,,
4414,Rudy Seanez,seaneru01,11098,39
4428,Jose Vizcaino,vizcajo01,,41
4441,Kent Mercker,merckke01,7883,
4446,Carlos Baerga,baergca01,,
4498,Scott Erickson,ericksc01,,
4517,Moises Alou,aloumo01,7380,46
4527,Frank Thomas,thomafr04,8126,47
4576,Luis Gonzalez,gonzalu01,7648,50
4600,Jeff Conine,coninje01,7527,
4612,Roberto Hernandez,hernaro01,7713,53
4621,Mike Timlin,timlimi01,8131,54
4626,Jeff Bagwell,bagweje01,,
4680,Ivan Rodriguez,rodriiv01,8027,58
4684,Frank Castillo,castifr01,,
4715,Mike Mussina,mussimi01,7913,61
4718,David Weathers,weathda01,8173,62
4733,Rheal Cormier,cormirh01,,
4736,Arthur Rhodes,rhodear01,8011,65
4737,Reggie Sanders,sandere02,8046,66
4746,Vinny Castilla,castivi02,,
4762,Jim Thome,thomeji01,8127,68
4789,Kenny Lofton,loftoke01,7824,70
4796,Cal Eldred,eldreca01,,
4800,Royce Clayton,claytro01,7519,72
4815,Miguel Batista,batismi01,8217,73
4826,Jeff Kent,kentje01,7785,76
4828,Russ Springer,sprinru01,8088,77
4848,Matt Stairs,stairma01,8243,79
4870,Pedro Astacio,astacpe01,,
4875,Pedro Martinez,martipe02,7855,82
4906,Tim Wakefield,wakefti01,8164,87
4913,Damion Easley,easleda01,7576,89
4917,Bret Boone,boonebr01,7450,
4928,Mike Piazza,piazzmi01,7977,95
4944,Doug Brocail,brocado01,7464,96
4953,Ryan Klesko,kleskry01,7789,98
4958,Alan Embree,embreal01,7583,99
4959,Manny Alexander,alexama02,,100
4965,Javy Lopez,lopezja01,7828,102
4969,J.T. Snow,snowjt01,,
4975,Trevor Hoffman,hoffmtr01,7722,104
4994,Mike Hampton,hamptmi01,7686,105
5051,Eddie Guardado,guarded01,7668,108
5061,Jeromy Burnitz,burnije01,,
5062,Aaron Sele,seleaa01,8056,110
5073,Carl Everett,evereca01,,
5082,Todd Jones,jonesto02,7770,115
5091,Chris Gomez,gomezch02,7643,117
5095,Brad Ausmus,ausmubr01,7395,119
5098,Brian Shouse,shousbr01,10752,120
5103,Julian Tavarez,tavarju01,8120,121
5118,Salomon Torres,torresa01,288921,123
5127,Darren Oliver,oliveda02,7941,125
5132,Manny Ramirez,ramirma02,7996,126
