mlbamID,Name,retroID,Year,DLDays
110189,Moises Alou,aloum001,2007,76
110189,Moises Alou,aloum001,2008,163
110236,Garret Anderson,andeg001,2007,52
110236,Garret Anderson,andeg001,2009,15
110383,Rich Aurilia,aurir001,2007,32
110383,Rich Aurilia,aurir001,2009,37
110870,Gary Bennett,benng001,2008,133
111072,Henry Blanco,blanh001,2007,83
111072,Henry Blanco,blanh001,2009,25
111213,Aaron Boone,boona001,2007,99
111213,Aaron Boone,boona001,2008,39
111213,Aaron Boone,boona001,2009,143
111244,Joe Borowski,boroj001,2008,39
111492,Doug Brocail,brocd001,2007,16
111492,Doug Brocail,brocd001,2009,130
112020,Chris Carpenter,carpc002,2007,182
112020,Chris Carpenter,carpc002,2008,123
112020,Chris Carpenter,carpc002,2009,36
112087,Sean Casey,cases001,2008,32
112116,Luis Castillo,castl001,2008,54
112128,Juan Castro,castj004,2007,85
112131,Frank Catalanotto,cataf001,2007,23
112297,Jeff Cirillo,cirij001,2007,24
112316,Tony Clark,clart002,2009,46
112526,Bartolo Colon,colob001,2007,68
112526,Bartolo Colon,colob001,2009,101
113028,Johnny Damon,damoj001,2008,16
113232,Carlos Delgado,delgc001,2009,146
113240,David Dellucci,delld001,2007,80
113240,David Dellucci,delld001,2009,27
113296,Elmer Dessens,desse001,2007,75
113702,Damion Easley,easld001,2007,44
113744,Jim Edmonds,edmoj001,2007,34
113744,Jim Edmonds,edmoj001,2008,15
113833,Alan Embree,embra001,2009,87
113845,Juan Encarnacion,encaj001,2007,44
113845,Juan Encarnacion,encaj001,2008,185
113889,Darin Erstad,erstd001,2007,60
113889,Darin Erstad,erstd001,2009,79
113898,Kelvim Escobar,escok001,2007,15
113898,Kelvim Escobar,escok001,2008,185
113898,Kelvim Escobar,escok001,2009,184
113915,Shawn Estes,estes001,2007,183
113915,Shawn Estes,estes001,2008,94
113961,Scott Eyre,eyres001,2008,67
113961,Scott Eyre,eyres001,2009,24
114260,Cliff Floyd,floyc001,2008,33
114260,Cliff Floyd,floyc001,2009,56
114342,Keith Foulke,foulk001,2008,87
114354,Chad Fox,fox-c001,2008,132
114354,Chad Fox,fox-c001,2009,147
114596,Nomar Garciaparra,garcn001,2007,21
114596,Nomar Garciaparra,garcn001,2008,102
114596,Nomar Garciaparra,garcn001,2009,43
114739,Jason Giambi,giamj001,2007,69
114739,Jason Giambi,giamj001,2009,18
114789,Brian Giles,gileb002,2007,40
114789,Brian Giles,gileb002,2009,109
114849,Tom Glavine,glavt001,2008,65
114849,Tom Glavine,glavt001,2008,47
114849,Tom Glavine,glavt001,2008,15
114849,Tom Glavine,glavt001,2009,185
114971,Tom Gordon,gordt001,2007,75
114971,Tom Gordon,gordt001,2008,87
114971,Tom Gordon,gordt001,2009,123
115017,Tony Graffanino,graft001,2007,54
115094,Shawn Green,grees001,2007,16
115210,Mark Grudzielanek,grudm001,2007,24
115210,Mark Grudzielanek,grudm001,2008,60
115216,Eddie Guardado,guare001,2007,127
115216,Eddie Guardado,guare001,2008,20
115216,Eddie Guardado,guare001,2009,17
115223,Vladimir Guerrero,guerv001,2009,66
115229,Jose Guillen,guilj001,2009,73
115399,Mike Hampton,hampm001,2007,183
115399,Mike Hampton,hampm001,2008,119
115399,Mike Hampton,hampm001,2009,70
115629,LaTroy Hawkins,hawkl001,2007,32
115629,LaTroy Hawkins,hawkl001,2009,16
115732,Todd Helton,heltt001,2008,72
116034,Trevor Hoffman,hofft001,2009,21
116338,Torii Hunter,huntt001,2009,40
116380,Raul Ibanez,ibanr001,2009,23
116414,Jason Isringhausen,isrij001,2008,70
116414,Jason Isringhausen,isrij001,2009,157
116615,Randy Johnson,johnr005,2007,136
