mlbamID,E,GIDP,A
110029,8,15,10
110236,4,11,4
110383,,5,25
110385,,1,11
111072,,5,28
111213,,,3
111548,,1,
111851,25,22,428
111867,,1,14
111904,4,12,4
112116,11,15,344
112128,3,1,68
112131,1,2,2
112223,2,4,40
112316,3,3,13
112736,5,12,259
113028,5,9,6
113232,2,3,9
113240,,3,
113679,5,15,9
113889,,2,7
114596,,4,13
114739,3,6,19
114789,,6,6
115017,1,1,18
115135,,6,
115223,,16,
115229,4,13,4
115732,3,15,96
115817,,5,
116338,1,9,2
116380,2,16,9
116539,8,18,340
116662,,7,1
116706,22,14,208
116974,8,11,61
117244,4,15,79
117276,,6,24
117601,6,12,94
117928,2,6,42
117955,,1,
119215,,1,
119853,,1,2
120044,2,19,6
120074,1,9,6
120691,7,13,50
120903,4,7,3
121074,14,17,299
121347,9,13,200
121358,7,20,52
121409,5,4,232
122111,2,10,4
122644,,,2
123041,2,4,
123107,3,13,88
123173,21,29,475
123272,,8,
123660,3,6,37
123744,,,147
124748,6,4,23
132720,5,2,9
132788,4,10,31
133160,,6,5
133226,,8,8
133321,8,2,180
133380,10,8,137
134002,4,1,32
134181,14,19,224
134260,5,14,77
135783,5,4,16
135784,2,15,439
136267,1,1,6
136460,7,7,270
136500,8,10,75
136660,9,11,175
136664,,,1
136722,2,7,
136767,,,15
136770,2,6,5
136780,9,24,174
136860,2,9,3
137002,2,9,5
137140,10,6,74
150020,12,3,151
150021,2,4,2
150029,6,11,11
150040,1,6,23
150061,11,3,165
150070,,2,1
150071,6,10,156
150089,2,5,11
150093,11,7,7
150100,,6,
150137,,,1
150148,8,4,55
150178,1,3,13
150207,1,,8
150212,6,22,20
150217,20,9,353
150224,,3,6
150229,5,18,50
150268,15,12,312
150275,,4,27
150289,10,5,71
150317,4,6,171
150324,2,21,9
150348,2,1,113
150396,3,10,5
150398,3,9,167
150411,1,5,25
150421,5,7,38
150439,3,4,2
150449,5,5,5
150456,20,8,277
150472,1,1,12
150479,17,5,419
150484,1,18,6
204020,6,13,116
206551,11,13,254
217100,10,7,123
218595,5,1,50
232694,10,12,263
275930,2,8,326
276055,16,8,39
276346,20,12,281
276354,,3,
276361,14,9,282
276376,12,15,91
276519,6,7,389
276534,,1,
276537,1,,2
276545,9,16,208
276547,1,1,6
279571,,1,
279577,20,11,419
279827,5,8,36
279913,,1,
280061,,2,15
282905,,,1
285068,4,3,40
285078,1,5,4
285131,8,11,337
291565,3,4,3
294558,,2,
324432,8,4,192
325392,2,8,6
333292,12,6,317
333492,4,15,59
334393,1,7,1
340192,10,12,423
340393,2,3,21
346795,1,4,2
346857,7,7,309
346859,,2,
346874,9,7,243
400018,8,10,47
400023,3,12,5
400073,3,8,13
400083,,,2
400085,4,1,5
400090,1,1,2
400091,2,7,1
400098,,7,
400120,1,5,18
400121,7,17,42
400134,,2,12
400136,,1,9
400140,5,2,11
400154,,1,7
400284,12,5,408
400290,,12,5
405395,13,23,185
406550,3,2,8
406878,11,7,432
407155,,4,
407397,5,,25
407483,4,4,35
407487,2,19,11
407489,2,8,102
407496,2,2,124
407556,5,2,38
407576,,6,14
407781,3,11,6
407786,,1,1
407792,,,15
407797,16,10,221
407798,,,1
407801,,5,
407812,5,13,7
407832,,6,69
407833,8,2,14
407849,5,11,133
407861,8,16,359
407862,1,5,3
407871,12,9,157
407885,5,10,285
407886,1,6,9
407893,4,13,49
408036,5,5,27
408039,,,1
408042,3,11,78
408045,3,13,31
408047,3,12,90
408108,5,12,289
408210,14,8,316
408211,,1,10
408212,3,2,6
408213,6,6,29
408219,5,6,6
408234,7,22,105
408236,7,23,136
408242,6,7,41
408252,9,21,409
408299,3,5,97
408305,13,15,83
408306,3,6,3
408307,4,7,6
408311,,1,
408312,2,9,14
408314,5,2,90
421064,8,16,103
421124,6,3,211
424325,1,1,37
424726,,9,15
424825,3,4,
425206,4,8,174
425446,2,4,83
425477,1,3,21
425491,6,12,53
425496,3,18,6
425506,1,8,3
425508,2,11,6
425509,19,20,334
425542,3,9,46
425543,6,4,141
425545,7,11,2
425547,5,18,4
425548,9,8,142
425549,13,6,462
425556,2,5,2
425557,3,8,141
425560,2,11,108
425565,,,2
425567,5,21,4
425632,,3,24
425661,2,8,46
425664,1,5,8
425686,,4,
425766,7,16,85
425769,1,,23
425772,7,2,58
425773,,11,80
425783,7,9,11
425785,1,2,26
425796,1,13,11
425834,4,7,6
425853,8,7,101
425867,8,5,107
425877,5,27,83
425900,5,14,47
425902,7,14,66
