mlbamID,HLD,QS
110683,1,0
112020,0,25
113296,11,0
115399,1,0
115629,6,0
115817,0,22
116034,2,0
117955,0,15
118158,2,0
119125,11,0
119154,0,14
119215,0,2
119469,0,9
119984,14,0
120221,1,0
120485,0,14
121096,6,0
121125,26,0
122987,0,2
123801,0,9
124604,9,0
133225,0,23
133982,3,0
134268,11,0
134320,1,10
134321,0,21
136263,11,0
136600,0,8
136734,4,0
136880,0,25
150009,1,0
150011,1,0
150035,9,0
150116,0,20
150118,3,0
150119,0,18
150122,9,0
150153,0,4
150188,1,0
150221,3,0
150249,0,2
150277,0,1
150302,0,5
150359,0,14
150404,0,22
150407,8,0
150414,0,18
150438,0,15
207267,0,7
213711,5,0
217096,0,19
218596,0,25
218894,0,9
219194,6,2
235095,9,0
239795,15,0
240694,9,0
275933,26,0
276056,6,0
276371,0,17
276514,3,0
276520,0,21
276530,4,0
276542,25,0
276912,1,0
277405,1,0
277417,0,10
279571,21,0
279782,0,19
279824,0,19
282332,0,26
282656,0,13
283166,10,0
285079,1,19
329092,18,0
332292,2,0
334492,0,17
346793,7,0
346797,16,0
346798,0,5
346801,3,0
346847,20,0
346848,7,0
346871,0,11
349193,18,0
400010,2,0
400061,0,24
400067,0,13
400104,1,0
400291,0,3
407113,0,2
407193,19,0
407296,4,12
407791,9,0
407793,0,21
407816,14,0
407819,21,0
407822,0,12
407825,23,0
407842,19,0
407845,21,0
407860,5,0
407890,0,20
407908,9,0
407911,15,0
407924,2,0
408061,2,0
408072,2,0
408206,0,24
408230,23,0
408241,0,8
408310,12,0
420864,7,0
421685,0,9
424144,0,2
424324,0,18
424805,8,0
425146,0,5
425226,1,1
425386,0,20
425487,0,4
425492,15,0
425539,21,0
425626,1,4
425647,7,0
425656,3,0
425657,11,0
425747,13,0
425786,7,0
425789,1,0
425794,0,25
425818,3,0
425827,1,12
425844,0,21
425848,0,5
425856,0,18
425860,0,2
425861,13,0
425883,0,4
429717,0,22
429719,0,15
429720,0,3
429721,1,0
429722,0,21
429780,3,12
429781,0,8
429783,23,0
429901,1,0
429985,1,0
430083,12,0
430580,1,0
430588,6,0
430589,11,0
430594,4,0
430599,0,16
430606,38,0
430613,16,0
430629,18,0
430630,14,0
430634,20,0
430636,0,1
430641,5,0
430663,3,0
430664,3,0
430673,6,0
430683,2,0
430884,21,0
430900,11,0
430904,0,16
430912,0,25
430935,0,21
430941,7,0
430942,1,0
430962,5,0
430963,1,1
431148,0,6
431162,0,4
432934,0,1
433578,4,0
433579,0,21
433581,1,0
433584,0,22
433585,0,9
433586,11,0
433587,0,30
433657,1,18
434159,1,0
434180,22,0
434181,13,0
434298,13,0
434378,0,22
434482,2,0
434538,0,20
434565,12,0
434578,0,15
434592,5,0
434622,0,25
434628,0,14
434637,4,0
434638,0,5
434641,8,0
434643,0,23
434663,5,0
434665,20,0
434666,5,0
434668,8,0
434671,0,20
434678,0,14
434679,0,2
434884,0,4
434958,2,0
435043,0,12
435044,0,12
435045,14,0
435080,0,1
435178,0,23
435179,0,6
435298,0,16
435400,12,0
435538,2,0
435619,0,4
435620,2,0
441368,1,0
444371,0,10
444382,2,0
444427,2,0
444436,9,0
444520,16,0
444836,5,1
444857,0,6
444884,9,0
445060,0,16
445156,22,0
445163,2,0
445197,1,0
445216,0,1
445246,5,0
445276,4,0
445926,6,0
445968,0,3
445971,3,0
446099,3,0
446185,6,0
446209,0,3
446264,0,9
446321,0,1
446399,0,18
446454,0,9
446624,0,1
446641,14,0
446899,18,0
447714,9,0
447744,1,0
448147,0,14
448159,0,3
448178,27,0
448179,1,0
448200,5,0
448269,0,12
448287,0,4
448306,0,17
448592,3,0
448609,15,0
448694,0,18
448753,5,0
448802,0,19
449060,3,0
449072,19,0
449079,0,1
