mlbamID,G ,G_batting,G_defense,G_p,GS ,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of
110029,142,142,28,0,135,0,0,0,0,0,18,0,10,28
110683,35,34,35,35,5,0,0,0,0,0,0,0,0,0
111072,37,37,37,0,31,37,0,0,0,0,0,0,0,0
111851,130,130,125,0,117,0,0,85,5,39,0,0,0,0
111867,102,102,73,0,56,0,5,13,58,0,0,0,0,0
111904,78,78,69,0,64,0,0,0,0,0,4,42,25,69
112020,34,32,34,34,34,0,0,0,0,0,0,0,0,0
112128,7,7,5,0,3,0,0,4,1,0,0,0,0,0
112526,29,1,29,29,26,0,0,0,0,0,0,0,0,0
112736,107,107,61,0,28,0,0,25,14,23,1,0,0,1
113028,150,150,16,0,144,0,1,0,0,0,16,0,0,16
114739,64,64,23,0,28,0,23,0,0,0,0,0,0,0
115223,145,145,0,0,137,0,0,0,0,0,0,0,0,0
115629,52,49,52,52,0,0,0,0,0,0,0,0,0,0
115732,124,124,119,0,113,0,119,0,0,0,0,0,0,0
115817,31,30,29,29,29,0,0,0,0,0,0,0,0,0
116338,156,156,137,0,153,0,0,0,0,0,0,1,136,137
116380,144,144,134,0,132,0,0,0,0,0,134,0,0,134
116414,53,50,53,53,0,0,0,0,0,0,0,0,0,0
116539,131,131,122,0,131,0,0,0,0,122,0,0,0,0
116662,77,77,57,0,58,0,0,0,0,0,39,0,19,57
116706,126,126,116,0,114,0,0,0,116,0,0,0,0,0
117244,149,149,111,0,147,0,111,0,0,0,0,0,0,0
117276,104,104,63,0,50,0,11,0,0,0,19,10,30,54
117601,113,113,113,0,113,0,113,0,0,0,0,0,0,0
117955,34,32,34,34,34,0,0,0,0,0,0,0,0,0
119125,48,35,48,48,0,0,0,0,0,0,0,0,0,0
119154,9,9,9,9,9,0,0,0,0,0,0,0,0,0
119984,61,2,61,61,0,0,0,0,0,0,0,0,0,0
120044,92,92,69,0,89,0,0,0,0,0,0,0,69,69
120074,146,146,2,0,138,0,2,0,0,0,0,0,0,0
120691,115,115,16,0,93,1,14,1,0,0,0,0,0,0
120903,5,5,0,0,4,0,0,0,0,0,0,0,0,0
121074,96,96,89,0,71,0,0,4,0,86,0,0,0,0
121096,4,0,4,4,0,0,0,0,0,0,0,0,0,0
121125,51,23,51,51,0,0,0,0,0,0,0,0,0,0
121250,64,9,64,64,0,0,0,0,0,0,0,0,0,0
121347,99,99,89,0,97,0,0,0,89,0,0,0,0,0
121358,44,44,37,0,34,37,1,0,0,0,0,0,0,0
121409,65,65,63,0,60,0,0,0,63,0,0,0,0,0
122644,56,56,4,0,8,0,4,0,0,0,0,0,0,0
123173,91,91,87,0,82,0,0,4,44,42,0,0,0,0
123272,93,93,1,0,78,0,0,0,1,0,0,0,0,0
123387,8,1,8,8,0,0,0,0,0,0,0,0,0,0
123660,68,68,68,0,64,68,0,0,0,0,0,0,0,0
123744,58,58,50,0,42,0,1,16,29,9,0,0,0,0
123801,33,2,33,33,23,0,0,0,0,0,0,0,0,0
124604,60,2,60,60,0,0,0,0,0,0,0,0,0,0
133225,35,34,34,34,34,0,0,0,0,0,0,0,0,0
133321,91,91,55,0,34,0,9,5,31,16,0,0,0,0
133380,149,149,145,0,146,0,0,0,145,0,0,0,0,0
134181,124,124,112,0,123,0,0,0,112,0,0,0,0,0
134268,55,53,55,55,0,0,0,0,0,0,0,0,0,0
134320,36,34,32,32,32,0,0,0,0,0,0,0,0,0
134321,33,2,33,33,33,0,0,0,0,0,0,0,0,0
135783,23,23,21,0,20,21,0,0,0,0,0,0,0,0
135784,122,122,118,0,116,0,0,1,118,0,0,0,0,0
136263,72,68,72,72,0,0,0,0,0,0,0,0,0,0
136460,149,149,149,0,146,0,0,0,0,149,0,0,0,0
136500,69,69,39,0,18,0,5,2,33,0,0,0,0,0
136600,25,1,25,25,25,0,0,0,0,0,0,0,0,0
136660,47,47,26,0,19,0,10,2,16,0,0,0,0,0
136722,28,28,26,0,25,0,1,25,0,0,0,0,0,0
136734,65,32,65,65,0,0,0,0,0,0,0,0,0,0
136767,58,58,44,0,40,0,3,0,42,0,0,0,0,0
136770,81,81,76,0,65,0,0,0,0,0,0,0,76,76
136860,142,142,134,0,137,0,0,0,0,0,0,0,134,134
136880,32,31,32,32,32,0,0,0,0,0,0,0,0,0
137140,68,68,27,0,28,0,25,0,2,0,0,0,0,0
150009,22,22,22,22,2,0,0,0,0,0,0,0,0,0
150021,79,79,67,1,40,0,0,0,0,0,23,13,37,67
150029,150,150,149,0,148,0,0,0,0,0,0,19,134,149
150035,63,6,63,63,0,0,0,0,0,0,0,0,0,0
150040,55,55,48,0,48,48,0,0,0,0,0,0,0,0
150061,22,22,14,0,8,0,0,2,8,5,0,0,0,0
150093,137,137,128,0,129,0,0,0,0,0,128,0,0,128
150100,92,92,54,0,50,0,0,0,0,0,54,0,0,54
150116,33,31,33,33,33,0,0,0,0,0,0,0,0,0
150118,67,5,67,67,0,0,0,0,0,0,0,0,0,0
150119,26,3,26,26,25,0,0,0,0,0,0,0,0,0
150148,98,98,88,0,85,88,0,0,0,0,0,0,0,0
150153,8,8,8,8,5,0,0,0,0,0,0,0,0,0
150188,68,65,68,68,0,0,0,0,0,0,0,0,0,0
150212,139,139,131,1,139,0,46,17,0,0,0,0,77,77
150229,129,129,120,0,119,120,0,0,0,0,0,0,0,0
150274,48,2,48,48,0,0,0,0,0,0,0,0,0,0
150275,113,113,98,0,108,98,0,0,0,0,0,0,0,0
150277,9,7,9,9,9,0,0,0,0,0,0,0,0,0
150289,153,153,153,0,142,0,153,0,0,0,0,0,0,0
150302,28,26,23,23,23,0,0,0,0,0,0,0,0,0
150324,155,155,148,0,154,0,79,0,0,0,80,0,0,80
150348,84,84,80,0,56,0,0,21,26,38,0,0,0,0
150359,34,2,33,33,32,0,0,0,0,0,0,0,0,0
150396,28,28,26,0,27,0,0,0,0,0,26,0,0,26
150398,23,23,14,0,12,0,0,0,14,0,0,0,0,0
150404,34,32,33,33,33,0,0,0,0,0,0,0,0,0
150407,52,50,52,52,0,0,0,0,0,0,0,0,0,0
150411,41,41,40,0,35,40,0,0,0,0,0,0,0,0
150414,35,33,33,33,33,0,0,0,0,0,0,0,0,0
150421,91,91,83,0,77,82,1,0,0,0,0,0,0,0
150438,26,25,26,26,16,0,0,0,0,0,0,0,0,0
150449,122,122,113,0,90,0,0,0,0,0,0,105,9,113
150456,114,114,87,0,96,0,36,34,27,0,0,0,0,0
150479,48,48,41,0,36,0,6,11,24,0,0,0,0,0
150484,131,131,122,0,128,0,0,0,0,0,111,12,10,122
204020,145,145,141,0,141,0,21,0,0,0,16,0,110,126
206551,42,42,31,0,30,0,1,0,31,0,0,0,0,0
207267,31,2,31,31,31,0,0,0,0,0,0,0,0,0
211041,21,19,21,21,0,0,0,0,0,0,0,0,0,0
213680,69,67,69,69,0,0,0,0,0,0,0,0,0,0
217096,13,12,13,13,9,0,0,0,0,0,0,0,0,0
217100,97,97,83,0,80,0,0,1,0,59,25,0,0,25
218595,11,11,4,0,2,0,0,2,1,1,0,0,0,0
218596,33,32,33,33,33,0,0,0,0,0,0,0,0,0
218894,9,9,9,9,0,0,0,0,0,0,0,0,0,0
232694,63,63,52,0,51,0,8,0,45,0,2,0,0,2
234194,8,0,8,8,0,0,0,0,0,0,0,0,0,0
235095,47,3,47,47,0,0,0,0,0,0,0,0,0,0
236155,2,2,2,0,2,2,0,0,0,0,0,0,0,0
239795,56,3,56,56,0,0,0,0,0,0,0,0,0,0
