mlbamID,G,G_batting,G_defense,G_p,GS,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of
110029,100,100,54,0,54,0,0,0,0,0,52,0,2,54
110683,35,31,35,35,5,0,0,0,0,0,0,0,0,0
111072,21,21,21,0,18,21,0,0,0,0,0,0,0,0
111867,70,70,45,0,31,0,24,8,13,0,0,0,0,0
112020,3,3,3,3,3,0,0,0,0,0,0,0,0,0
112526,24,2,24,24,24,0,0,0,0,0,0,0,0,0
113028,64,64,56,0,57,0,0,0,0,0,56,0,0,56
114739,60,60,13,0,18,0,13,0,0,0,0,0,0,0
115629,48,4,48,48,0,0,0,0,0,0,0,0,0,0
115732,69,69,67,0,64,0,67,0,0,0,0,0,0,0
115817,44,44,44,44,0,0,0,0,0,0,0,0,0,0
116338,140,140,134,0,133,0,0,0,0,0,0,0,134,134
116380,130,130,90,0,99,0,0,0,0,0,80,0,13,90
116414,50,4,50,50,0,0,0,0,0,0,0,0,0,0
116539,159,159,135,0,158,0,0,0,0,135,0,0,0,0
116662,94,94,66,0,65,0,0,0,0,0,47,0,23,66
116706,112,112,103,0,101,0,0,0,103,0,0,0,0,0
117244,144,144,105,0,143,0,105,0,0,0,0,0,0,0
117276,82,82,31,0,29,0,5,0,0,0,19,0,9,27
117955,38,3,38,38,21,0,0,0,0,0,0,0,0,0
119154,28,2,28,28,28,0,0,0,0,0,0,0,0,0
119469,10,10,10,10,10,0,0,0,0,0,0,0,0,0
119984,62,5,62,62,0,0,0,0,0,0,0,0,0,0
120074,90,90,7,0,88,0,7,0,0,0,0,0,0,0
120485,12,3,12,12,12,0,0,0,0,0,0,0,0,0
121250,9,1,9,9,0,0,0,0,0,0,0,0,0,0
121347,122,122,81,0,119,0,0,0,81,0,0,0,0,0
121409,92,92,88,0,81,0,0,0,88,0,0,0,0,0
122987,8,8,6,6,6,0,0,0,0,0,0,0,0,0
123272,58,58,4,0,39,0,4,0,0,0,0,0,0,0
123744,60,60,50,0,36,0,2,24,18,10,1,0,0,1
124604,66,63,66,66,0,0,0,0,0,0,0,0,0,0
133225,28,15,28,28,28,0,0,0,0,0,0,0,0,0
133380,149,149,143,0,146,0,0,0,143,0,0,0,0,0
134181,156,156,129,0,152,0,0,0,129,0,0,0,0,0
134268,10,10,10,10,0,0,0,0,0,0,0,0,0,0
134321,11,1,11,11,11,0,0,0,0,0,0,0,0,0
135784,90,90,80,0,72,0,0,0,80,0,0,0,0,0
136263,56,51,56,56,0,0,0,0,0,0,0,0,0,0
136460,24,24,24,0,24,0,0,0,0,24,0,0,0,0
136600,35,4,34,34,34,0,0,0,0,0,0,0,0,0
136660,48,48,29,0,16,0,3,1,11,1,9,0,7,16
136734,57,1,57,57,0,0,0,0,0,0,0,0,0,0
136767,113,113,70,0,73,0,10,0,64,0,0,0,0,0
136860,151,151,133,0,135,0,0,0,0,0,0,9,132,133
136880,25,25,25,25,25,0,0,0,0,0,0,0,0,0
150020,78,78,74,0,63,0,1,30,32,2,18,0,0,18
150021,42,42,36,1,24,0,0,0,0,0,21,7,12,35
150029,81,81,79,0,79,0,0,0,0,0,0,11,76,79
150035,34,0,34,34,0,0,0,0,0,0,0,0,0,0
150040,102,102,102,0,80,102,0,0,0,0,0,0,0,0
150093,151,151,145,0,149,0,0,0,0,0,145,0,0,145
150116,31,24,30,30,26,0,0,0,0,0,0,0,0,0
150118,32,9,32,32,0,0,0,0,0,0,0,0,0,0
150119,30,1,30,30,17,0,0,0,0,0,0,0,0,0
150148,104,104,99,0,98,99,1,0,0,0,0,0,0,0
150188,47,10,47,47,0,0,0,0,0,0,0,0,0,0
150212,101,101,97,0,92,0,26,0,0,0,0,0,74,74
150229,135,135,126,0,126,126,0,0,0,0,0,0,0,0
150274,66,5,66,66,0,0,0,0,0,0,0,0,0,0
150275,64,64,60,0,53,60,1,0,0,0,0,0,0,0
150289,160,160,153,0,135,0,153,0,0,0,0,0,0,0
150302,24,17,22,22,22,0,0,0,0,0,0,0,0,0
150324,147,147,145,0,146,0,145,0,0,0,0,0,0,0
150337,8,8,7,7,7,0,0,0,0,0,0,0,0,0
150348,70,70,62,0,51,0,0,4,5,54,0,0,0,0
150359,31,29,31,31,31,0,0,0,0,0,0,0,0,0
150398,17,17,6,0,5,0,0,0,6,0,0,0,0,0
150404,8,8,8,8,8,0,0,0,0,0,0,0,0,0
150407,26,26,26,26,0,0,0,0,0,0,0,0,0,0
150411,34,34,29,0,26,29,0,0,0,0,0,0,0,0
150414,30,29,28,28,28,0,0,0,0,0,0,0,0,0
150421,52,52,48,0,45,46,2,0,0,0,0,0,0,0
150438,4,4,4,4,0,0,0,0,0,0,0,0,0,0
150449,68,68,62,0,37,0,0,0,0,0,0,62,0,62
150456,86,86,57,0,40,0,3,16,39,0,1,0,0,1
150484,77,77,74,0,65,0,0,0,0,0,69,6,2,74
204020,32,32,23,0,22,0,23,0,0,0,0,0,0,0
207267,22,22,22,22,0,0,0,0,0,0,0,0,0,0
213680,7,7,7,7,0,0,0,0,0,0,0,0,0,0
217096,32,31,32,32,32,0,0,0,0,0,0,0,0,0
217100,80,80,75,0,73,0,0,1,11,64,1,0,1,2
217915,25,25,18,0,19,0,0,0,0,0,13,0,6,18
218596,29,27,28,28,28,0,0,0,0,0,0,0,0,0
218894,56,5,56,56,0,0,0,0,0,0,0,0,0,0
235095,12,0,12,12,0,0,0,0,0,0,0,0,0,0
239795,76,71,76,76,0,0,0,0,0,0,0,0,0,0
240694,16,11,16,16,0,0,0,0,0,0,0,0,0,0
275933,57,3,57,57,0,0,0,0,0,0,0,0,0,0
276055,151,151,56,0,149,0,52,0,0,0,5,0,0,5
276346,83,83,81,0,80,0,0,6,76,0,0,0,0,0
276351,64,61,64,64,0,0,0,0,0,0,0,0,0,0
276354,36,36,35,0,33,35,0,0,0,0,0,0,0,0
276371,21,19,21,21,21,0,0,0,0,0,0,0,0,0
276376,38,38,5,0,24,0,5,0,0,0,0,0,0,0
276514,40,2,40,40,0,0,0,0,0,0,0,0,0,0
276519,156,156,156,0,152,0,0,0,0,156,0,0,0,0
276520,32,30,32,32,32,0,0,0,0,0,0,0,0,0
276542,73,3,73,73,0,0,0,0,0,0,0,0,0,0
276545,156,156,85,0,154,0,41,16,25,4,0,0,0,0
276547,101,100,99,2,53,0,0,0,0,0,53,38,11,98
277417,28,9,28,28,28,0,0,0,0,0,0,0,0,0
279571,80,77,80,80,0,0,0,0,0,0,0,0,0,0
279577,121,121,120,0,116,0,0,0,0,120,0,0,0,0
279824,31,30,31,31,31,0,0,0,0,0,0,0,0,0
279827,43,43,43,0,40,43,0,0,0,0,0,0,0,0
282332,28,2,28,28,28,0,0,0,0,0,0,0,0,0
282656,9,9,9,9,9,0,0,0,0,0,0,0,0,0
283166,47,45,47,47,0,0,0,0,0,0,0,0,0,0
284568,10,10,3,0,3,0,1,0,3,0,0,0,0,0
285064,31,29,31,31,31,0,0,0,0,0,0,0,0,0
285068,90,90,78,0,66,0,1,6,35,48,0,0,0,0
285078,148,148,138,0,146,0,0,0,0,0,84,95,2,138
285079,34,33,34,34,33,0,0,0,0,0,0,0,0,0
285131,62,62,52,0,40,0,1,2,4,46,0,0,0,0
294558,59,59,51,0,39,0,0,0,0,0,40,0,15,51
325392,63,63,57,0,53,0,0,0,0,0,31,23,5,57
329092,80,75,80,80,0,0,0,0,0,0,0,0,0,0
333292,40,40,31,0,14,0,0,2,0,29,0,0,0,0
333492,52,52,20,0,15,0,15,1,0,0,5,0,0,5
334393,130,130,107,0,98,0,0,0,0,0,107,0,0,107
340192,156,156,155,0,149,0,0,118,15,27,0,0,0,0
346793,67,62,67,67,0,0,0,0,0,0,0,0,0,0
346795,64,64,57,0,34,0,0,0,0,0,35,3,21,57
346797,75,5,75,75,0,0,0,0,0,0,0,0,0,0
