mlbamID,adjIP,IP,S,playerid,Name,Team,FG
136880,220,242,,1303,Roy Halladay,,Y
424324,214,235,,1636,Cliff Lee,,Y
433587,213,234,,4772,Felix Hernandez,,Y
434378,213,234,,8700,Justin Verlander,,Y
282332,208,229,,404,CC Sabathia,,Y
448306,207,228,,7059,James Shields,,Y
429717,207,227,,1757,Dan Haren,,Y
450308,206,226,,4235,Jered Weaver,,Y
430912,202,222,,4732,Matt Cain,,Y
460069,201,221,,3403,Ricky Romero,,Y
456034,200,220,,3184,David Price,,Y
477132,200,220,,2036,Clayton Kershaw,,Y
453311,199,219,,5705,Tim Lincecum,,Y
430935,198,218,,4972,Cole Hamels,,Y
453178,197,217,,6986,Ian Kennedy,,Y
543339,197,216,,7146,Daniel Hudson,,Y
429722,195,214,,3200,Ervin Santana,,Y
134321,194,213,,790,Carl Pavano,,
425844,193,212,,1943,Zack Greinke,,Y
490063,193,212,,3340,Matt Garza,,Y
452657,192,211,,4930,Jon Lester,,Y
429719,192,211,,1841,Edwin Jackson,,Y
279824,190,209,,225,Mark Buehrle,,Y
450729,190,209,,9425,Doug Fister,,Y
475416,189,208,,2038,Justin Masterson,,Y
450351,189,208,,3580,C.J. Wilson,,Y
433579,188,207,,6329,John Danks,,Y
461829,188,207,,7448,Gio Gonzalez,,Y
112020,188,207,,1292,Chris Carpenter,,Y
502706,188,207,,4141,Derek Holland,,Y
285079,188,207,,1245,R.A. Dickey,,Y
434622,187,206,,3374,Ubaldo Jimenez,,Y
502009,187,206,,3815,Mat Latos,,Y
407890,186,204,,1259,Colby Lewis,,Y
502239,186,204,,6249,Trevor Cahill,,Y
150116,185,203,,976,Randy Wolf,,Y
218596,185,203,,921,Tim Hudson,,Y
425856,184,202,,3886,Gavin Floyd,,
518516,184,202,,5524,Madison Bumgarner,,Y
451596,184,202,,8173,Yovani Gallardo,,Y
476451,183,201,,4371,Jeremy Hellickson,,Y
425386,183,201,,2072,Jeremy Guthrie,,
451532,182,200,,5842,Chad Billingsley,,Y
453286,181,199,,3137,Max Scherzer,,Y
468504,180,198,,2608,Jhoulys Chacin,,
434671,180,198,,3284,Anibal Sanchez,,Y
456501,180,198,,6893,Johnny Cueto,,Y
133225,179,197,,517,Ryan Dempster,,Y
425794,179,197,,2233,Adam Wainwright,,Y
434643,178,196,,2586,Wandy Rodriguez,,Y
445060,177,195,,3830,Ricky Nolasco,,Y
460024,177,195,,6943,Luke Hochevar,,
460059,177,194,,5203,Mike Pelfrey,,Y
450306,175,192,,8044,Jason Vargas,,Y
519144,175,192,,2717,Rick Porcello,,Y
448802,174,191,,8137,Jaime Garcia,,Y
501381,174,191,,5372,Michael Pineda,,Y
502032,173,190,,9492,Bud Norris,,Y
451788,173,190,,6204,Shaun Marcum,,Y
431162,172,189,,6432,Tim Stauffer,,
502190,172,189,,10130,Mike Leake,,Y
434578,172,189,,4366,Joe Saunders,,
277417,171,188,,510,Josh Beckett,,Y
519455,171,188,,4505,Jordan Zimmermann,,Y
117955,170,187,,199,Derek Lowe,,Y
276520,167,184,,978,Bronson Arroyo,,Y
477003,167,184,,4424,Jonathon Niese,,Y
430904,167,183,,8678,Paul Maholm,,
493133,167,183,,3283,Hiroki Kuroda,,
150404,166,182,,833,Ted Lilly,,Y
453344,166,182,,9346,Brandon Morrow,,Y
457448,166,182,,5551,Matt Harrison,,Y
458708,165,181,,9388,Josh Tomlin,,
458709,164,180,,7080,John Lannan,,Y
468396,163,179,,10261,Alexi Ogando,,Y
467100,163,179,,1994,Ivan Nova,,Y
506433,162,178,,,Yu Darvish,,
451584,162,178,,7441,Wade Davis,,Y
502154,161,177,,3240,Zach Britton,,Y
435178,160,176,,4567,Josh Johnson,,Y
458690,160,176,,9901,Chris Volstad,,Y
150359,158,174,,512,A.J. Burnett,,Y
444371,158,174,,5879,Jeff Karstens,,
,157,173,,4270,Nick Blackburn,,
435221,157,173,,4662,Brandon McCarthy,,Y
458950,157,172,,8586,Philip Humber,,
453329,157,172,,3543,Clay Buchholz,,Y
285064,156,171,,1011,Ryan Vogelsong,,Y
448694,156,171,,4535,Randy Wells,,
457428,155,170,,5523,James McDonald,,
435044,155,170,,6176,Scott Baker,,
545404,155,170,,8851,Brandon Beachy,,Y
462102,154,169,,9129,Tommy Hanson,,Y
453268,153,168,,7115,Daniel Bard,,
519242,152,167,,10603,Chris Sale,,Y
434538,151,166,,3201,Francisco Liriano,,Y
462956,151,166,,3777,Felipe Paulino,,
475243,150,165,,9884,Travis Wood,,Y
429780,150,165,,2141,Chris Narveson,,Y
519043,150,165,,1890,Matt Moore,,Y
450203,150,165,,4676,Charlie Morton,,
458537,150,165,,1984,Cory Luebke,,Y
518716,150,165,,7396,Dillon Gee,,Y
,149,164,,1116,Livan Hernandez,,
407296,149,164,,305,Carlos Zambrano,,Y
474699,149,164,,6435,Vance Worley,,Y
421685,149,164,,1451,Aaron Harang,,Y
150414,149,164,,412,Jake Westbrook,,Y
544931,149,164,,10131,Stephen Strasburg,,Y
456701,148,163,,8362,Homer Bailey,,Y
457453,148,163,,5556,Jair Jurrjens,,Y
433584,147,162,,3273,Fausto Carmona,,Y
425626,147,161,,1701,Chris Capuano,,Y
435298,146,160,,8591,Jeff Niemann,,Y
518567,145,159,,7312,Josh Collmenter,,
400061,145,159,,571,Roy Oswalt,,Y
461833,145,159,,7450,Phil Hughes,,Y
506693,144,158,,5669,Henderson Alvarez,,Y
456043,143,157,,7507,Jonathan Sanchez,,Y
346798,142,156,,739,Kyle Lohse,,Y
,141,155,,1767,Kevin Correia,,
136600,141,155,,769,Bruce Chen,,
469686,141,155,,5164,Alfredo Aceves,,
491703,141,155,,18,Neftali Feliz,,Y
518444,141,155,,338,Blake Beavan,,Y
446399,139,153,,2660,Brett Cecil,,Y
457918,139,153,,7410,J.A. Happ,,
502748,138,152,,5401,Brad Peacock,,
453562,137,150,,4153,Jake Arrieta,,
456051,137,150,,3292,Hector Noesi,,
453385,137,150,,3551,Clayton Richard,,
276371,133,146,,755,Johan Santana,,
134320,132,145,,,Javier Vazquez,,
504379,129,142,,7731,Juan Nicasio,,
501985,128,141,,10021,Mike Minor,,Y
408241,128,141,,1051,Jake Peavy,,
430599,128,141,,4849,Joe Blanton,,
458713,127,140,,9918,Kevin Slowey,,
150119,127,140,,1077,Freddy Garcia,,Y
518633,127,140,,3542,Danny Duffy,,
460284,127,140,,,Dallas Braden,,
217096,126,138,,944,Barry Zito,,Y
407853,122,134,,126,Erik Bedard,,Y
547973,121,133,,10233,Aroldis Chapman,,Y
543475,121,133,,7593,Jordan Lyles,,Y
543070,119,131,4,10149,Aaron Crow,,Y
502188,118,130,,3254,Jeff Samardzija,,
,118,130,,7608,Tom Milone,,
425426,118,130,,2074,Chien-Ming Wang,,Y
451085,116,128,,2646,Brian Matusz,,
450172,116,127,,3990,Edinson Volquez,,Y
112526,115,126,,375,Bartolo Colon,,
334492,112,123,,1094,Joel Pineiro,,Y
519105,109,120,,4913,Jarrod Parker,,
543022,106,117,,4338,Tyler Chatwood,,Y
518703,105,115,,1370,Charlie Furbush,,Y
545363,98,108,,10185,Jacob Turner,,
453646,96,105,,4138,Carlos Villanueva,,Y
527054,96,105,,6797,Julio Teheran,,Y
519141,95,104,,11426,Drew Pomeranz,,
452718,95,104,,6230,Kyle Kendrick,,
449072,95,104,,4845,Kyle McClellan,,
450665,92,101,,9417,Kris Medlen,,
502171,91,100,,6562,Alex Cobb,,Y
430661,91,100,,8600,Dustin McGowan,,Y
445216,86,95,,263,Daniel McCutchen,,
474463,86,94,,8223,Brett Anderson,,
475138,85,93,,4359,Kyle Drabek,,Y
,84,84,,7775,Daisuke Matsuzaka,,
434592,83,91,,3799,Chris Resop,,
446185,83,83,,3677,Logan Ondrusek,,
459967,82,82,,4664,Sam LeCure,,
450852,81,81,,5337,Cristhian Martinez,,
461325,78,86,2,5640,Tyler Clippard,WAS,Y
446209,77,77,,3688,Jesse Litsch,,Y
445156,76,76,31,5905,Sean Marshall,CIN,
538227,75,75,,10091,Hisanori Takahashi,,
458924,74,74,4,7175,Jonny Venters,ATL,Y
461791,73,73,44,2790,Carlos Marmol,CHN,Y
434665,72,72,,7267,Nick Masset,,
502085,70,70,2,8241,David Robertson,NYA,Y
430606,70,70,8,1937,Mike Adams,TEX,Y
518886,69,69,41,6655,Craig Kimbrel,ATL,Y
407878,69,69,37,1726,Jose Valverde,DET,
456696,68,68,8,4259,David Hernandez,ARI,
453343,68,68,3,4264,Mark Melancon,BOS,
430629,68,68,35,2186,Joel Hanrahan,PIT,
465629,68,68,,3970,Edward Mujica,,
429783,67,67,29,177,Rafael Betancourt,COL,
408061,67,67,3,1642,Francisco Rodriguez,MIL,Y
446099,67,67,39,9059,John Axford,MIL,Y
451216,67,67,36,6485,Brian Wilson,SFN,Y
519322,67,67,40,6983,Drew Storen,WAS,Y
430673,67,67,2,7986,Ramon Ramirez,,
,67,67,,8041,Glen Perkins,,
425514,66,66,40,2080,Heath Bell,MIA,Y
150118,66,66,8,429,Brian Fuentes,OAK,
407908,66,66,4,2332,Joel Peralta,TBA,
150407,66,66,,1467,Guillermo Mota,,
462382,65,65,24,3656,Jim Johnson,BAL,
407819,65,65,22,1918,Matt Thornton,CHA,
408206,65,187,22,962,Brett Myers,HOU,Y
449097,65,65,39,5975,Jonathan Papelbon,PHI,Y
502381,65,65,4,4090,Luke Gregerson,SDN,
502260,65,65,1,4782,Vinnie Pestano,,Y
434181,64,64,39,3731,Brandon League,SEA,Y
477569,64,64,7,4971,Fernando Salas,SLN,Y
457425,64,64,,5109,Evan Meek,,
527055,64,64,,5498,Arodys Vizcaino,,
434180,64,64,,4422,Kameron Loe,,
518813,63,63,14,7196,Greg Holland,KCA,Y
435400,63,63,36,5861,Jason Motte,SLN,Y
425492,,62,,1852,Ryan Madson,CIN,
453198,62,62,31,5213,Chris Perez,CLE,
519240,62,62,,6612,Marc Rzepczynski,,
447714,62,62,,5746,Eric O'Flaherty,,Y
477229,61,61,36,3271,Jordan Walden,LAA,Y
445276,61,61,12,3096,Kenley Jansen,LAN,Y
517414,61,61,,5985,Randall Delgado,,Y
525768,61,61,,3164,Tim Collins,,Y
444520,61,61,,4363,Craig Breslow,,Y
276542,60,60,2,1437,Joaquin Benoit,DET,
275933,60,60,2,773,Scott Downs,LAA,
121250,60,60,36,844,Mariano Rivera,NYA,Y
150035,60,60,27,278,Kyle Farnsworth,TBA,
150274,60,60,24,1122,Joe Nathan,TEX,
435045,60,60,34,4734,Sergio Santos,TOR,Y
346793,60,60,,583,Jeremy Affeldt,,
461766,60,60,,4722,Jose Arredondo,,
455374,58,58,2,8844,Antonio Bastardo,PHI,Y
489265,58,58,1,9817,Sergio Romo,SFN,Y
407816,57,57,34,1795,J.J. Putz,ARI,
458730,57,57,3,9926,Bobby Parnell,NYN,
400089,57,57,2,1100,Rafael Soriano,,Y
,56,56,,8782,Andrew Cashner,,
,56,56,,1703,Dontrelle Willis,,
445163,56,56,,7355,Casey Janssen,,Y
276514,55,55,8,,Kevin Gregg,BAL,
592665,55,55,12,,Addison Reed,CHA,
407193,55,55,6,,Brandon Lyon,HOU,
446641,55,55,6,,Wilton Lopez,HOU,
455009,55,55,22,4759,Jonathan Broxton,KCA,
448165,55,55,23,4788,Matt Capps,MIN,
451491,55,55,4,,Joel Zumaya,MIN,
346797,55,55,16,718,Grant Balfour,OAK,
501745,55,55,6,,Fautino de los Santos,OAK,
434718,55,55,29,8258,Huston Street,SDN,
407845,55,55,3,,Fernando Rodney,TBA,
150188,55,55,8,1243,Francisco Cordero,TOR,
134268,55,55,,,Kerry Wood,,
425657,55,55,1,,Javier Lopez,,
493157,55,55,4,9227,Koji Uehara,TEX,
457732,54,54,32,1368,Andrew Bailey,BOS,Y
457915,54,54,25,7407,Javy Guerra,LAN,
435538,54,54,,8538,Bill Bray,,
407911,53,53,29,1933,Frank Francisco,NYN,Y
119984,53,53,,206,Darren Oliver,,
407793,51,51,,1507,John Lackey,,Y
