mlbamID,adjIP,IP,S,Name
434378,205,,,"Verlander, Justin "
430912,205,,,"Cain, Matt "
448306,205,,,"Shields, James "
429717,204,,,"Haren, Dan "
433587,204,,,"Hernandez, Felix "
477132,204,,,"Kershaw, Clayton "
453178,204,,,"Kennedy, Ian "
136880,203,,,"Halladay, Roy "
450308,203,,,"Weaver, Jered "
282332,203,,,"Sabathia, CC "
543339,203,,,"Hudson, Daniel "
460069,202,,,"Romero, Ricky "
424324,202,,,"Lee, Cliff "
453311,202,,,"Lincecum, Tim "
456034,202,,,"Price, David "
452657,201,,,"Lester, Jon "
430935,201,,,"Hamels, Cole "
279824,200,,,"Buehrle, Mark "
450351,199,,,"Wilson, C.J. "
425844,199,,,"Greinke, Zack "
475416,199,,,"Masterson, Justin "
490063,198,,,"Garza, Matt "
433579,198,,,"Danks, John "
502706,198,,,"Holland, Derek "
502009,197,,,"Latos, Mat "
134321,197,,,"Pavano, Carl "
518516,196,,,"Bumgarner, Madison "
451596,196,,,"Gallardo, Yovani "
461829,196,,,"Gonzalez, Gio "
285079,195,,,"Dickey, R.A. "
429719,194,,,"Jackson, Edwin "
133225,193,,,"Dempster, Ryan "
450729,191,,,"Fister, Doug "
425856,191,,,"Floyd, Gavin "
457448,191,,,"Harrison, Matt "
425386,191,,,"Guthrie, Jeremy "
434622,190,,,"Jimenez, Ubaldo "
502239,190,,,"Cahill, Trevor "
502032,190,,,"Norris, Bud "
429722,189,,,"Santana, Ervin "
448802,188,,,"Garcia, Jaime "
460024,188,,,"Hochevar, Luke "
276520,187,,,"Arroyo, Bronson "
453344,186,,,"Morrow, Brandon "
506433,186,,,"Darvish, Yu "
453286,185,,,"Scherzer, Max "
477003,185,,,"Niese, Jon "
434643,185,,,"Rodriguez, Wandy "
460059,184,,,"Pelfrey, Mike "
450306,184,,,"Vargas, Jason "
425794,184,,,"Wainwright, Adam "
451532,184,,,"Billingsley, Chad "
150116,183,,,"Wolf, Randy "
476451,183,,,"Hellickson, Jeremy "
434671,183,,,"Sanchez, Anibal "
277417,182,,,"Beckett, Josh "
456501,182,,,"Cueto, Johnny "
519455,181,,,"Zimmermann, Jordan "
407890,181,,,"Lewis, Colby "
346798,180,,,"Lohse, Kyle "
431162,180,,,"Stauffer, Tim "
519144,179,,,"Porcello, Rick "
462102,178,,,"Hanson, Tommy "
150414,177,,,"Westbrook, Jake "
493133,176,,,"Kuroda, Hiroki "
545404,175,,,"Beachy, Brandon "
458537,175,,,"Luebke, Cory "
445060,175,,,"Nolasco, Ricky "
435221,175,,,"McCarthy, Brandon "
435178,175,,,"Johnson, Josh "
502190,174,,,"Leake, Mike "
429780,174,,,"Narveson, Chris "
488984,173,,,"Hunter, Tommy "
458950,173,,,"Humber, Philip "
519043,173,,,"Moore, Matt "
450172,173,,,"Volquez, Edinson "
468504,173,,,"Chacin, Jhoulys "
434578,172,,,"Saunders, Joe "
430904,171,,,"Maholm, Paul "
421685,171,,,"Harang, Aaron "
453562,171,,,"Arrieta, Jake "
543548,170,,,"Milone, Tom "
518716,170,,,"Gee, Dillon "
451788,170,,,"Marcum, Shaun "
434538,170,,,"Liriano, Francisco "
453329,169,,,"Buchholz, Clay "
