mlbam_id,IP,IP,S,Name,Team,Avg,2012,2011,2010
518886,70,70,41,Craig Kimbrel,ATL,44,42,46,
462382,75,75,36,Jim Johnson,BAL,20,51,9,1
446099,60,60,35,John Axford,MIL,35,35,46,24
449097,60,60,35,Jonathan Papelbon,PHI,35,38,31,37
453198,50,50,33,Chris Perez,CLE,33,39,36,23
435400,60,60,32,Jason Motte,STL,18,42,9,2
430629,60,60,31,Joel Hanrahan,BOS,27,36,40,6
121250,60,60,31,Mariano Rivera,NYY,27,5,44,33
150274,60,60,31,Joe Nathan,TEX,26,37,14,
400089,60,60,31,Rafael Soriano,WAS,30,42,2,45
407816,60,60,29,J.J. Putz,ARI,27,32,45,3
407878,60,60,29,Jose Valverde,FA,37,35,49,26
425492,50,50,29,Ryan Madson,LAA,19,,32,5
407845,60,60,29,Fernando Rodney,TB,22,48,3,14
493117,,,28,Kyuji Fujikawa,CHC,,,,
429783,60,60,28,Rafael Betancourt,COL,13,31,8,1
592665,60,60,27,Addison Reed,CWS,29,29,,
434181,60,60,26,Brandon League,LAD,19,15,37,6
434718,50,50,26,Huston Street,SD,24,23,29,20
452666,60,60,26,Tom Wilhelmsen,SEA,29,29,,
455009,50,50,25,Jonathan Broxton,CIN,19,27,7,22
489265,60,60,21,Sergio Romo,SF,8,14,1,
407911,55,55,19,Frank Francisco,NYM,14,23,17,2
445163,60,60,19,Casey Janssen,TOR,12,22,2,
518813,60,60,18,Greg Holland,KC,10,16,4,
450282,60,60,18,Glen Perkins,MIN,9,16,2,
475857,60,60,17,Ryan Cook,OAK,14,14,,
276351,60,60,17,Jason Grilli,PIT,2,2,1,
518553,60,60,16,Steven Cishek,MIA,9,15,3,
451216,50,50,15,Brian Wilson,FA,28,1,36,48
150188,60,60,15,Francisco Cordero,FA,26,2,37,40
445197,60,60,14,Michael Dunn,MIA,1,1,,
453343,60,60,13,Mark Melancon,PIT,11,1,20,
457732,50,50,12,Andrew Bailey,BOS,18,6,24,25
449079,60,60,12,Wesley Wright,HOU,1,1,,
407842,60,60,12,Jose Veras,HOU,1,1,1,
457117,60,60,12,Ernesto Frieri,LAA,23,23,,
445276,50,50,12,Kenley Jansen,LAD,11,25,5,4
346797,60,60,12,Grant Balfour,OAK,13,24,2,
433586,60,60,11,Santiago Casilla,SF,11,25,6,2
435045,60,60,11,Sergio Santos,TOR,11,2,30,1
