mlbamID,Name,Team,2009,2008,Avg,Wgtd,Guess,Closer?,CAIRO
121250,Mariano Rivera,NYY,44,39,42,42,39,Y,37
150274,Joe Nathan,MIN,47,39,43,44,0,Y,31
449097,Jonathan Papelbon,BOS,38,41,40,39,35,Y,34
425514,Heath Bell,SD,42,0,21,28,34,Y,33
150188,Francisco Cordero,CIN,39,34,37,37,33,Y,31
451216,Brian Wilson,SF,38,41,40,39,32,Y,29
465657,Joakim Soria,KC,30,42,36,34,32,Y,29
408061,Francisco Rodriguez,NYM,35,62,49,44,32,Y,28
116034,Trevor Hoffman,MIL,37,30,34,35,31,Y,32
455009,Jonathan Broxton,LAD,36,14,25,29,31,Y,31
430911,David Aardsma,SEA,38,0,19,25,30,Y,30
211041,Ryan Franklin,STL,38,17,28,31,30,Y,34
400089,Rafael Soriano,TB,27,3,15,19,30,Y,34
407878,Jose Valverde,DET,25,44,35,31,29,,28
408057,Bobby Jenks,CWS,29,30,30,29,29,Y,32
430589,Chad Qualls,ARI,24,9,17,19,29,,32
400058,Brad Lidge,PHI,31,41,36,34,27,,29
434718,Huston Street,COL,35,18,27,29,27,Y,29
448165,Matt Capps,WAS,27,21,24,25,27,Y,28
407911,Frank Francisco,TEX,25,5,15,18,27,Y,28
123790,Billy Wagner,ATL,0,27,14,9,25,?,25
134268,Kerry Wood,CLE,20,34,27,25,25,Y,29
457732,Andrew Bailey,OAK,26,0,13,17,25,Y,29
150118,Brian Fuentes,LAA,48,30,39,42,23,?,21
283166,Mike Gonzalez,BAL,10,14,12,11,23,,26
461791,Carlos Marmol,CHC,15,7,11,12,23,,31
430630,Jason Frasor,TOR,11,0,6,7,15,,29
136734,Octavio Dotel,,0,1,1,0,22,,29
434663,Leo Nunez,FL,26,0,13,17,20,,26
434637,Matt Lindstrom,HOU,15,5,10,12,15,,26
407845,Fernando Rodney,LAA,37,13,25,29,13,?,15
407193,Brandon Lyon,HOU,3,26,15,11,15,,3
276514,Kevin Gregg,,23,29,26,25,15,,
275933,Scott Downs,TOR,9,5,7,8,9,,2
493416,Takashi Saito,ATL,2,18,10,7,8,?,6
462382,Jim Johnson,BAL,10,1,6,7,3,,
434442,J.P. Howell,TB,17,3,10,12,4,,3
407819,Matt Thornton,CWS,4,1,3,3,4,,3
430941,George Sherrill,LAD,21,31,26,24,1,,
446899,Brad Ziegler,OAK,7,11,9,8,1,,
115629,LaTroy Hawkins,MIL,11,1,6,8,1,,
425492,Ryan Madson,PHI,10,1,6,7,1,,
451491,Joel Zumaya,DET,1,1,1,1,1,,
407825,Matt Guerrier,MIN,,,,,14,,
450212,Pat Neshek,MIN,,,,,6,,
400010,Jon Rauch,MIN,,,,,14,,
453198,Chris Perez,,,,,,2,,
434641,Juan Gutierrez,,,,,,4,,
