playerName,mlbamID,Tm,Lg,Pos
Yazy Arbelo,502390,ARI,NL,1B
Matthew Davidson,571602,ARI,NL,1B
Paul Goldschmidt,502671,ARI,NL,1B
Juan Miranda,506673,ARI,NL,1B
Lyle Overbay,407489,ARI,NL,1B
Andy Tracy,282905,ARI,NL,1B
Daryle Ward,132880,ARI,NL,1B
Aris Alcantara,542186,ATL,NL,1B
William Beckwith,542922,ATL,NL,1B
Freddie Freeman,518692,ATL,NL,1B
Christopher Garcia,488893,ATL,NL,1B
Mauro Gomez,450855,ATL,NL,1B
Eric Hinske,400134,ATL,NL,1B
Barrett Kleinknecht,594886,ATL,NL,1B
Nick Lobanov,521231,ATL,NL,1B
Ronald Luna,570783,ATL,NL,1B
Ernesto Mejia,448171,ATL,NL,1B
Edison Sanchez,542576,ATL,NL,1B
Joseph Terdoslavich,519345,ATL,NL,1B
Aaron Baker,456163,BAL,AL,1B
Chris Davis,448801,BAL,AL,1B
Michael Flacco,572850,BAL,AL,1B
Adam Gaylord,595221,BAL,AL,1B
Joe Mahoney,518977,BAL,AL,1B
Billy Rowell,475728,BAL,AL,1B
Brandon Snyder,474319,TEX,AL,1B
Tyler Townsend,572213,BAL,AL,1B
Joe Velleggia,573220,BAL,AL,1B
Robbie Widlansky,453266,BAL,AL,1B
Michael Almanzar,527031,BOS,AL,1B
Lars Anderson,502249,BOS,AL,1B
Adrian Gonzalez,408236,BOS,AL,1B
Miles Head,571758,OAK,AL,1B
Drew Hedman,572913,BOS,AL,1B
Jorge Padron,594271,BOS,AL,1B
Dan Black,542941,CHA,AL,1B
Jim Gallagher,518706,CHA,AL,1B
Paul Konerko,117244,CHA,AL,1B
Seth Loman,446411,CHA,AL,1B
Leighton Pangilinan,573079,CHA,AL,1B
Michael Schwartz,594990,CHA,AL,1B
Andy Wilkins,519421,CHA,AL,1B
Justin Bour,571506,CHN,NL,1B
Ryan Cuneo,576403,CHN,NL,1B
Richard Jones,572957,CHN,NL,1B
Bryan LaHair,445933,CHN,NL,1B
Brandon May,571928,CHN,NL,1B
Jake Opitz,444969,CHN,NL,1B
Rebel Ridling,543693,CHN,NL,1B
Greg Rohan,573125,CHN,NL,1B
Anthony Rizzo,519203,CHN,NL,1B
Dominic D'Anna,595171,CIN,NL,1B
Daniel Dorn,457760,CIN,NL,1B
Yimmy Lopez,570612,CIN,NL,1B
Carlos Mendez,462120,CIN,NL,1B
Chris Richburg,573116,CIN,NL,1B
Carlos Sanchez,570614,CIN,NL,1B
Neftali Soto,519304,CIN,NL,1B
Joey Votto,458015,CIN,NL,1B
