mlbamID,Name,BDB,statsID,cbsID,espnFantasyID,espnID,retroID,Pos_Class,bisID,altName
119374,Mike Morgan,morgami01,2402,593197,,,morgm001,,67,
212297,Julio Franco,francju01,3001,127073,2,,franj002,1B,87,
112388,Roger Clemens,clemero02,3340,7520,4,,clemr001,,815,
120191,Rafael Palmeiro,palmera01,3897,,,,palmr001,,1266,
111188,Barry Bonds,bondsba01,3918,7447,7,,bondb001,,1109,
119469,Jamie Moyer,moyerja01,3932,7909,9,1799,moyej001,P,1091,
118120,Greg Maddux,maddugr01,3933,7837,10,,maddg002,P,104,
119488,Terry Mulholland,mulhote01,3952,,,,mulht001,,665,
122989,B.J. Surhoff,surhobj01,3965,,,,surhb001,,117,
121386,Kenny Rogers,rogerke01,3974,8029,13,1834,rogek001,P,1277,
114849,Tom Glavine,glavito02,4122,7641,17,1975,glavt001,P,90,
117652,Al Leiter,leiteal01,4130,,,,leita001,,883,
118986,Jose Mesa,mesajo01,4143,7884,19,,mesaj001,,961,
111232,Pat Borders,bordepa01,4170,,,,bordp001,,1068,
110987,Craig Biggio,biggicr01,4217,,,,biggc001,,549,
122477,John Smoltz,smoltjo01,4232,8074,23,2077,smolj001,P,115,
121811,Curt Schilling,schilcu01,4267,8052,25,,schic002,,73,
122111,Gary Sheffield,sheffga01,4268,8061,26,2113,shefg001,OF,114,
114971,Tom Gordon,gordoto01,4279,7652,27,2122,gordt001,P,282,
115135,Ken Griffey Jr.,griffke02,4305,7664,30,2148,grifk002,1B,327,Ken Griffey
123744,Omar Vizquel,vizquom01,4306,8159,31,2149,vizqo001,IF,411,
114135,Steve Finley,finlest01,4307,,32,,finls001,,54,
122544,Sammy Sosa,sosasa01,4344,8242,33,,sosas001,,302,
110209,Wilson Alvarez,alvarwi01,4364,,,,alvaw001,,1193,
115174,Marquis Grissom,grissma02,4389,,,,grism001,,652,
121955,Rudy Seanez,seaneru01,4414,11098,39,2257,seanr001,P,1279,
115169,Jason Grimsley,grimsja01,4425,,,,grimj001,,602,
123743,Jose Vizcaino,vizcajo01,4428,,41,,vizcj001,,577,
118967,Kent Mercker,merckke01,4441,7883,,,merck001,P,439,
110427,Carlos Baerga,baergca01,4446,,,,baerc001,,175,
113884,Scott Erickson,ericksc01,4498,,,,erics001,,137,
115391,Chris Hammond,hammoch01,4508,,,,hammc001,,92,
110189,Moises Alou,aloumo01,4517,7380,46,,aloum001,1B,261,
119948,Jose Offerman,offerjo01,4542,,,,offej001,1B,205,
118362,Tino Martinez,martiti02,4545,,,,martt002,,1168,
115436,Dave Hansen,hanseda01,4595,,,,hansd001,,1403,
112559,Jeff Conine,coninje01,4600,7527,,,conij001,,131,
114581,Rich Garces,,4606,,,,,P,189,
115832,Roberto Hernandez,hernaro01,4612,7713,53,,hernr001,,605,
123348,Mike Timlin,timlimi01,4621,8131,54,,timlm001,P,1187,
110432,Jeff Bagwell,bagweje01,4626,,,,bagwj001,,547,
114032,Jeff Fassero,fasseje01,4639,,,,fassj001,,279,
121060,Mike Remlinger,remlimi01,4673,,,,remlm001,,111,
121358,Ivan Rodriguez,rodriiv01,4680,8027,58,2523,rodri001,C,1275,
112113,Frank Castillo,castifr01,4684,,,,castf001,,180,
119608,Mike Mussina,mussimi01,4715,7913,61,,mussm001,P,837,
124000,David Weathers,weathda01,4718,8173,62,2560,weatd001,P,902,
112690,Rheal Cormier,cormirh01,4733,,,,cormr001,,952,
121125,Arthur Rhodes,rhodear01,4736,8011,65,2578,rhoda001,P,1097,
112106,Vinny Castilla,castivi02,4746,,,,castv001,IF,84,
123272,Jim Thome,thomeji01,4762,8127,68,2604,thomj002,1B,409,
117863,Kenny Lofton,loftoke01,4789,7824,70,,loftk001,,246,
113793,Cal Eldred,eldreca01,4796,,,,eldrc001,,1653,
112381,Royce Clayton,claytro01,4800,7519,72,,clayr001,,226,
110683,Miguel Batista,batismi01,4815,8217,73,2657,batim001,P,46,
114208,John Flaherty,flahejo01,4820,,,,flahj001,,1206,
116999,Jeff Kent,kentje01,4826,7785,76,,kentj001,IF,1119,
122620,Russ Springer,sprinru01,4828,8088,77,2670,sprir001,P,1652,
119704,Jeff Nelson,nelsoje01,4829,,,,nelsj001,,1092,
122644,Matt Stairs,stairma01,4848,8243,79,2690,staim001,OF,1384,
115183,Buddy Groom,groombu01,4863,,,,groob001,,143,
110359,Pedro Astacio,astacpe01,4870,,,,astap001,,862,
120824,Paul Quantrill,quantpa01,4894,,,,quanp001,,669,
120747,Todd Pratt,prattto02,4904,,,,pratt001,,968,
123801,Tim Wakefield,wakefti01,4906,8164,87,2748,waket001,P,219,
124209,Matt Whiteside,whitema02,4909,,,,whitm002,,1956,
113702,Damion Easley,easleda01,4913,7576,89,,easld001,IF,464,
117420,Tim Laker,lakerti01,4915,,,,laket001,,1681,
111214,Bret Boone,boonebr01,4917,7450,,,boonb002,IF,1067,
121640,Tim Salmon,salmoti01,4918,,,,salmt001,,32,
124233,Bob Wickman,wickmbo01,4919,8186,,,wickb001,,413,
111492,Doug Brocail,brocado01,4944,7464,96,2786,brocd001,P,551,
117148,Ryan Klesko,kleskry01,4953,7789,98,,klesr001,,1041,
113833,Alan Embree,embreal01,4958,7583,99,2800,embra001,P,1030,
110129,Manny Alexander,alexama02,4959,,100,,alexm001,,1954,
117919,Javy Lopez,lopezja01,4965,7828,102,2807,lopej001,,103,
122497,J.T. Snow,snowjt01,4969,,,,snowj001,1B,1133,
116034,Trevor Hoffman,hoffmtr01,4975,7722,104,2817,hofft001,P,1035,
114768,Benji Gil,"gilbe01",4981,127076,,,gil-b001,IF,14,
115399,Mike Hampton,hamptmi01,4994,7686,105,2836,hampm001,P,430,
118560,David McCarty,mccarda01,5029,,,,mccad001,,1462,
115216,Eddie Guardado,guarded01,5051,7668,108,2893,guare001,P,727,
111742,Jeromy Burnitz,burnije01,5061,,,,burnj001,,867,
121986,Aaron Sele,seleaa01,5062,8056,110,2904,selea001,,34,
124580,Tim Worrell,worreti01,5064,,,,worrt002,,1139,
115394,Jeffrey Hammonds,hammoje01,5066,,,,hammj001,,687,
113946,Carl Everett,evereca01,5073,,,,everc001,,1249,
121541,Kirk Rueter,rueteki01,5079,,,,ruetk001,,1128,
116734,Todd Jones,jonesto02,5082,7770,115,,jonet003,P,436,
114909,Chris Gomez,gomezch02,5091,7643,117,2933,gomec001,1B,1208,
110385,Brad Ausmus,ausmubr01,5095,7395,119,2937,ausmb001,C,546,
122195,Brian Shouse,shousbr01,5098,10752,120,2940,shoub001,P,630,
123118,Julian Tavarez,tavarju01,5103,8120,121,2945,tavaj001,P,541,
116853,Steve Karsay,karsast01,5114,,,,karss001,,829,
